ticker,exchange,currency
WDS,NYSE,USD
FTI,NYSE,USD
EOG,NYSE,USD
KMI,NYSE,USD
BKR,NASDAQ,USD
TRGP,NYSE,USD
EQT,NYSE,USD
HAL,NYSE,USD
TTE,NYSE,USD
SU,NYSE,USD
TRP,NYSE,USD
E,NYSE,USD
PBA,NYSE,USD
EQNR,NYSE,USD
IMO,NYSE,USD
TS,NYSE,USD
XOM,NYSE,USD
CVX,NYSE,USD
COP,NYSE,USD
WMB,NYSE,USD
SLB,NYSE,USD
VLO,NYSE,USD
PSX,NYSE,USD
MPC,NYSE,USD
OKE,NYSE,USD
LNG,NYSE,USD
OXY,NYSE,USD
FANG,NASDAQ,USD
TPL,NYSE,USD
DVN,NYSE,USD
EXE,NYSE,USD
SHEL,NYSE,USD
ENB,NYSE,USD
BP,NYSE,USD
CNQ,NYSE,USD
CCJ,NYSE,USD
CVE,NYSE,USD
PBR,NYSE,USD
