date,WDS,FTI,EOG,KMI,BKR,TRGP,EQT,HAL,TTE,SU,TRP,E,PBA,EQNR,IMO,TS,XOM,CVX,COP,WMB,SLB,VLO,PSX,MPC,OKE,LNG,OXY,FANG,TPL,DVN,EXE,SHEL,ENB,BP,CNQ,CCJ,CVE,PBR
1980-01-02,,,,,,,,5.0518281097,,,,,,,,,0.8786860327,3.037675252,,,,,,,,,,,,,,,,3.231114605,,,,
1980-01-03,,,,,,,,4.998350319,,,,,,,,,0.8561807112,3.0449544738,,,,,,,,,,,,,,,,3.1923024176,,,,
1980-01-04,,,,,,,,5.089505644,,,,,,,,,0.8643348132,3.0309559703,,,,,,,,,,,,,,,,3.299035933,,,,
1980-01-07,,,,,,,,5.0518281097,,,,,,,,,0.8602577622,3.0309559703,,,,,,,,,,,,,,,,3.2943784705,,,,
1980-01-08,,,,,,,,5.2262386315,,,,,,,,,0.8664548797,3.0589529773,,,,,,,,,,,,,,,,3.4057694485,,,,
1980-01-09,,,,,,,,5.3173939564,,,,,,,,,0.8583007777,3.0309559703,,,,,,,,,,,,,,,,3.3863633548,,,,
1980-01-10,,,,,,,,5.4085492814,,,,,,,,,0.8561807112,3.0236767485,,,,,,,,,,,,,,,,3.3914089392,,,,
1980-01-11,,,,,,,,5.3781641731,,,,,,,,,0.8542237267,3.0029589634,,,,,,,,,,,,,,,,3.3184420268,,,,
1980-01-14,,,,,,,,5.3860643012,,,,,,,,,0.8664548797,3.0029589634,,,,,,,,,,,,,,,,3.3669572611,,,,
1980-01-15,,,,,,,,5.4085492814,,,,,,,,,0.8887971192,3.0236767485,,,,,,,,,,,,,,,,3.4154724954,,,,
1980-01-16,,,,,,,,5.4389343897,,,,,,,,,0.8969512213,3.037675252,,,,,,,,,,,,,,,,3.4201299579,,,,
1980-01-17,,,,,,,,5.3933567272,,,,,,,,,0.9031483388,3.0449544738,,,,,,,,,,,,,,,,3.5660637827,,,,
1980-01-18,,,,,,,,5.4237418356,,,,,,,,,0.9010282723,3.1916587901,,,,,,,,,,,,,,,,3.5513151515,,,,
1980-01-21,,,,,,,,5.651630148,,,,,,,,,0.9091823743,3.3249245431,,,,,,,,,,,,,,,,3.725969995,,,,
1980-01-22,,,,,,,,5.5987600595,,,,,,,,,0.9132594253,3.3109260396,,,,,,,,,,,,,,,,3.6580486669,,,,
1980-01-23,,,,,,,,5.7124003646,,,,,,,,,0.9479958998,3.3736393352,,,,,,,,,,,,,,,,3.6530030826,,,,
1980-01-24,,,,,,,,5.7731705813,,,,,,,,,0.9581069863,3.4229140674,,,,,,,,,,,,,,,,3.7019064387,,,,
1980-01-25,,,,,,,,5.6899153845,,,,,,,,,0.9458758333,3.4156348456,,,,,,,,,,,,,,,,3.7841882761,,,,
1980-01-28,,,,,,,,5.7731705813,,,,,,,,,0.9724582059,3.4716288594,,,,,,,,,,,,,,,,3.9200309322,,,,
1980-01-29,,,,,,,,5.8035556896,,,,,,,,,0.9724582059,3.4229140674,,,,,,,,,,,,,,,,3.8132974167,,,,
1980-01-30,,,,,,,,5.9554812312,,,,,,,,,0.9928434609,3.4649095778,,,,,,,,,,,,,,,,3.9588431196,,,,
1980-01-31,,,,,,,,5.9250961229,,,,,,,,,0.9928434609,3.4856273629,,,,,,,,,,,,,,,,3.8812187448,,,,
1980-02-01,,,,,,,,6.0770216645,,,,,,,,,1.02953692,3.5836168871,,,,,,,,,,,,,,,,3.8812187448,,,,
1980-02-04,,,,,,,,6.0618291103,,,,,,,,,0.9969205119,3.5556198802,,,,,,,,,,,,,,,,3.8230004636,,,,
1980-02-05,,,,,,,,6.0545366843,,,,,,,,,0.9928434609,3.5696183837,,,,,,,,,,,,,,,,3.8132974167,,,,
1980-02-06,,,,,,,,6.3352950852,,,,,,,,,1.0233398024,3.8355899495,,,,,,,,,,,,,,,,3.9685461665,,,,
1980-02-07,,,,,,,,6.1985620978,,,,,,,,,1.0478021085,4.0735645084,,,,,,,,,,,,,,,,3.9394370259,,,,
1980-02-08,,,,,,,,6.5631833977,,,,,,,,,1.0804185165,4.2202688248,,,,,,,,,,,,,,,,4.0849827289,,,,
1980-02-11,,,,,,,,6.4416429644,,,,,,,,,1.082375501,4.0735645084,,,,,,,,,,,,,,,,4.075279682,,,,
1980-02-12,,,,,,,,6.5255058633,,,,,,,,,1.0844955675,4.0875630119,,,,,,,,,,,,,,,,4.1529040569,,,,
