date,cluster,cluster_size,participating_stocks,participation_pct
2020-03-09,1,7,6,0.8571428571428571
2025-04-07,1,7,4,0.5714285714285714
2025-04-08,1,7,3,0.42857142857142855
2025-04-04,1,7,4,0.5714285714285714
2021-03-12,1,7,5,0.7142857142857143
2026-04-10,1,7,5,0.7142857142857143
2020-03-24,1,7,3,0.42857142857142855
2021-03-09,1,7,5,0.7142857142857143
2020-03-25,1,7,3,0.42857142857142855
2020-04-03,1,7,3,0.42857142857142855
2020-03-09,2,11,7,0.6363636363636364
2025-04-07,2,11,8,0.7272727272727273
2025-04-08,2,11,9,0.8181818181818182
2025-04-04,2,11,8,0.7272727272727273
2021-03-12,2,11,3,0.2727272727272727
2026-04-10,2,11,9,0.8181818181818182
2020-03-24,2,11,4,0.36363636363636365
2021-03-09,2,11,2,0.18181818181818182
2020-03-25,2,11,4,0.36363636363636365
2020-04-03,2,11,4,0.36363636363636365
2020-03-09,3,1,0,0.0
2025-04-07,3,1,0,0.0
2025-04-08,3,1,0,0.0
2025-04-04,3,1,0,0.0
2021-03-12,3,1,1,1.0
2026-04-10,3,1,1,1.0
2020-03-24,3,1,1,1.0
2021-03-09,3,1,1,1.0
2020-03-25,3,1,1,1.0
2020-04-03,3,1,1,1.0
2020-03-09,4,8,4,0.5
2025-04-07,4,8,3,0.375
2025-04-08,4,8,3,0.375
2025-04-04,4,8,4,0.5
2021-03-12,4,8,6,0.75
2026-04-10,4,8,2,0.25
2020-03-24,4,8,6,0.75
2021-03-09,4,8,5,0.625
2020-03-25,4,8,5,0.625
2020-04-03,4,8,5,0.625
2020-03-09,5,3,1,0.3333333333333333
2025-04-07,5,3,1,0.3333333333333333
2025-04-08,5,3,1,0.3333333333333333
2025-04-04,5,3,1,0.3333333333333333
2021-03-12,5,3,2,0.6666666666666666
2026-04-10,5,3,0,0.0
2020-03-24,5,3,2,0.6666666666666666
2021-03-09,5,3,0,0.0
2020-03-25,5,3,0,0.0
2020-04-03,5,3,0,0.0
2020-03-09,6,4,4,1.0
2025-04-07,6,4,4,1.0
2025-04-08,6,4,4,1.0
2025-04-04,6,4,4,1.0
2021-03-12,6,4,2,0.5
2026-04-10,6,4,2,0.5
2020-03-24,6,4,1,0.25
2021-03-09,6,4,3,0.75
2020-03-25,6,4,1,0.25
2020-04-03,6,4,1,0.25
2020-03-09,7,2,0,0.0
2025-04-07,7,2,0,0.0
2025-04-08,7,2,0,0.0
2025-04-04,7,2,0,0.0
2021-03-12,7,2,0,0.0
2026-04-10,7,2,0,0.0
2020-03-24,7,2,0,0.0
2021-03-09,7,2,0,0.0
2020-03-25,7,2,0,0.0
2020-04-03,7,2,0,0.0
2020-03-09,8,1,1,1.0
2025-04-07,8,1,1,1.0
2025-04-08,8,1,1,1.0
2025-04-04,8,1,0,0.0
2021-03-12,8,1,1,1.0
2026-04-10,8,1,0,0.0
2020-03-24,8,1,1,1.0
2021-03-09,8,1,1,1.0
2020-03-25,8,1,1,1.0
2020-04-03,8,1,1,1.0
2020-03-09,9,1,0,0.0
2025-04-07,9,1,0,0.0
2025-04-08,9,1,0,0.0
2025-04-04,9,1,0,0.0
2021-03-12,9,1,1,1.0
2026-04-10,9,1,0,0.0
2020-03-24,9,1,1,1.0
2021-03-09,9,1,1,1.0
2020-03-25,9,1,1,1.0
2020-04-03,9,1,1,1.0
