,WDS,FTI,EOG,KMI,BKR,TRGP,EQT,HAL,TTE,SU,TRP,E,PBA,EQNR,IMO,TS,XOM,CVX,COP,WMB,SLB,VLO,PSX,MPC,OKE,LNG,OXY,FANG,TPL,DVN,EXE,SHEL,ENB,BP,CNQ,CCJ,CVE,PBR
WDS,1.0,0.13863216266173753,0.0024052916416115455,0.2535070140280561,0.06043956043956044,0.006591337099811676,0.0005941770647653001,0.030813953488372094,0.02510716472749541,0.05018587360594796,0.1157556270096463,0.1753846153846154,0.06589147286821706,0.504,0.11265370884569616,0.05502846299810247,0.06331045003813883,0.16244849911712772,0.15964912280701754,0.05313092979127135,0.04919236417033774,0.0013029315960912053,0.019438444924406047,0.03802281368821293,0.020080321285140562,0.11595547309833024,0.011827321111768185,0.0038684719535783366,0.07286077379271393,0.0030102347983142685,0.0,0.0029469548133595285,0.12122664111164351,0.00045248868778280545,0.0019569471624266144,0.011627906976744186,0.0014619883040935672,0.21328125
FTI,0.13863216266173753,1.0,0.05892162312395775,0.08606856309263311,0.008641975308641974,0.004611837048424289,0.0,0.024974515800203875,0.03463203463203463,0.044213263979193757,0.04752553024351924,0.10454908220271349,0.005676442762535478,0.12627986348122866,0.05476603119584055,0.0514018691588785,0.1384499623777276,0.21727172717271728,0.20837867247007616,0.01069078947368421,0.20972423802612483,0.028985507246376812,0.005957446808510639,0.003798670465337132,0.030624744793793384,0.05591054313099041,0.13445867287543656,0.010680907877169559,0.06827202963747023,0.0619074177356386,0.0,0.026916802610114192,0.0518155854753162,0.09722222222222222,0.006379585326953748,0.016209476309226933,0.013172338090010977,0.09007912355447352
EOG,0.0024052916416115455,0.05892162312395775,1.0,0.0015616866215512754,0.003205128205128205,0.0028785261945883708,0.15823095823095823,0.14889619539689997,0.02043478260869565,0.01725554642563681,0.10078069552874379,0.003863134657836645,0.012162162162162163,0.0007022471910112359,0.08315166614761757,0.0028089887640449437,0.09838146620120597,0.08881578947368421,0.06282513005202081,0.018661971830985915,0.15557998900494777,0.017027151403589506,0.0024798512089274642,0.0013422818791946308,0.15001943256898562,0.08798586572438162,0.18902743142144637,0.0076077768385460695,0.14784394250513347,0.07195233730522456,0.0,0.1308411214953271,0.06541725601131541,0.1536,0.06729559748427673,0.11260775862068965,0.024132730015082957,0.05198487712665406
KMI,0.2535070140280561,0.08606856309263311,0.0015616866215512754,1.0,0.01951219512195122,0.2346368715083799,0.0005154639175257732,0.10747408619749045,0.1646562123039807,0.003663003663003663,0.10945890128046262,0.137875101378751,0.0055762081784386614,0.3311345646437995,0.08774422735346359,0.017087667161961365,0.0550935550935551,0.18345705196182396,0.15702479338842976,0.0599058622165169,0.004767580452920143,0.008998875140607425,0.207035175879397,0.07064676616915423,0.019647153167602245,0.11189979123173277,0.002036659877800407,0.010416666666666666,0.09592002161577952,0.07370184254606366,0.0,0.06411323896752706,0.14053579270970576,0.02236951118475559,0.001563721657544957,0.009797917942437232,0.047830923248053395,0.16473616473616473
BKR,0.06043956043956044,0.008641975308641974,0.003205128205128205,0.01951219512195122,1.0,0.007704160246533128,0.022562449637389202,0.015706806282722512,0.0023885350318471337,0.0273972602739726,0.007503751875937969,0.02812939521800281,0.08753315649867374,0.046583850931677016,0.005892255892255892,0.004322766570605188,0.0046570702794242165,0.012329656067488644,0.04186046511627907,0.006692693809258227,0.015015015015015015,0.0017857142857142857,0.009541984732824428,0.0,0.0037553648068669528,0.009634888438133874,0.004651162790697674,0.061224489795918366,0.004750593824228029,0.007246376811594203,0.0,0.008319467554076539,0.007853403141361256,0.01698754246885617,0.009950248756218905,0.012435233160621761,0.015037593984962405,0.016979445933869526
TRGP,0.006591337099811676,0.004611837048424289,0.0028785261945883708,0.2346368715083799,0.007704160246533128,1.0,0.07649938800489596,0.09608540925266904,0.01391304347826087,0.006289308176100629,0.0011995201919232307,0.07957559681697612,0.00558659217877095,0.0036407766990291263,0.0017391304347826088,0.05699020480854853,0.00034940600978336826,0.05724600309437854,0.06191950464396285,0.022727272727272728,0.03509979353062629,0.0,0.11732456140350878,0.11889862327909888,0.07464724624487938,0.0316008316008316,0.007900677200902935,0.01020408163265306,0.03031914893617021,0.02411764705882353,0.0,0.13575129533678756,0.03293413173652695,0.023276633840644583,0.013837638376383764,0.0,0.006622516556291391,0.006180469715698393
EQT,0.0005941770647653001,0.0,0.15823095823095823,0.0005154639175257732,0.022562449637389202,0.07649938800489596,1.0,0.13241379310344828,0.021166306695464362,0.0129136400322841,0.17653715579026782,0.03611738148984198,0.022957461174881837,0.0,0.034023668639053255,0.0016675931072818232,0.0526634382566586,0.03575592693354061,0.022962112514351322,0.06320789185239313,0.09452479338842976,0.09488692232055064,0.008641975308641974,0.008016032064128256,0.2236842105263158,0.10571428571428572,0.08250676284941388,0.0008278145695364238,0.10730143068574248,0.22072538860103627,0.006993006993006993,0.026394721055788842,0.10382513661202186,0.10894495412844037,0.02023809523809524,0.09005235602094241,0.000727802037845706,0.002682163611980331
HAL,0.030813953488372094,0.024974515800203875,0.14889619539689997,0.10747408619749045,0.015706806282722512,0.09608540925266904,0.13241379310344828,1.0,0.09070698088039128,0.01818181818181818,0.05630556470200856,0.04505971769815418,0.040882543802725504,0.00065359477124183,0.010146561443066516,0.044751381215469614,0.012776831345826235,0.03728813559322034,0.08398744113029827,0.03628196268140981,0.19222462203023757,0.05320600272851296,0.0655534941249227,0.005031446540880503,0.15486058779201206,0.05219689461513049,0.1081441922563418,0.0124804992199688,0.0799716914366596,0.12104539202200826,0.0,0.01694915254237288,0.016291951775822745,0.04838709677419355,0.00333889816360601,0.02744912446758164,0.06010137581462708,0.02686041391457508
TTE,0.02510716472749541,0.03463203463203463,0.02043478260869565,0.1646562123039807,0.0023885350318471337,0.01391304347826087,0.021166306695464362,0.09070698088039128,1.0,0.0024154589371980675,0.024719841793012523,0.0044004400440044,0.07885304659498207,0.02212705210563883,0.007516623301532235,0.029885057471264367,0.016710642040457344,0.0498220640569395,0.02977571539056458,0.02509720749381407,0.03129584352078239,0.010483135824977211,0.10401087695445276,0.0006675567423230974,0.003722504230118443,0.018145826459914218,0.026180257510729613,0.00587248322147651,0.046250875963559916,0.0937062937062937,0.09260832625318606,0.0017667844522968198,0.009695753928452023,0.003471017007983339,0.07916402786573781,0.0019342359767891683,0.07734806629834254,0.013617793917385384
SU,0.05018587360594796,0.044213263979193757,0.01725554642563681,0.003663003663003663,0.0273972602739726,0.006289308176100629,0.0129136400322841,0.01818181818181818,0.0024154589371980675,1.0,0.009081735620585268,0.02282453637660485,0.005076142131979695,0.0,0.01192504258943782,0.045941807044410414,0.0034028073160357296,0.022486772486772486,0.026420079260237782,0.008445945945945946,0.03842159916926272,0.0009033423667570009,0.007827788649706457,0.007751937984496124,0.01309328968903437,0.0005060728744939271,0.028067361668003207,0.08433734939759036,0.0020814748736247396,0.018945634266886325,0.0,0.011965811965811967,0.0,0.003943661971830986,0.02058319039451115,0.0,0.024,0.01079136690647482
TRP,0.1157556270096463,0.04752553024351924,0.10078069552874379,0.10945890128046262,0.007503751875937969,0.0011995201919232307,0.17653715579026782,0.05630556470200856,0.024719841793012523,0.009081735620585268,1.0,0.10063965884861407,0.0017730496453900709,0.1296487603305785,0.37707047742773625,0.005130228887134964,0.20795194508009154,0.08082408874801902,0.10400516795865633,0.1967910936476752,0.05799778352419653,0.05427456544874069,0.005919661733615222,0.0004438526409232135,0.18202033036848794,0.1742586365025986,0.09274053490795416,0.0020512820512820513,0.25817307692307695,0.1566579634464752,0.0,0.02933780385582565,0.33722989727240527,0.06639368236326411,0.03016338500209468,0.10689115113547376,0.004739336492890996,0.09290416971470374
E,0.1753846153846154,0.10454908220271349,0.003863134657836645,0.137875101378751,0.02812939521800281,0.07957559681697612,0.03611738148984198,0.04505971769815418,0.0044004400440044,0.02282453637660485,0.10063965884861407,1.0,0.015592515592515593,0.22993197278911565,0.06023664395840803,0.24777887462981243,0.06947981084030556,0.11244769874476987,0.12309310889005787,0.02285467874083657,0.03740157480314961,0.0011855364552459987,0.12989690721649486,0.07888888888888888,0.0356839422259983,0.11265767725097868,0.0125,0.013595166163141994,0.12756849315068494,0.008319467554076539,0.0,0.0068669527896995704,0.1683075480543835,0.01765719207579673,0.012048192771084338,0.023194168323392977,0.01824817518248175,0.14737550471063257
PBA,0.06589147286821706,0.005676442762535478,0.012162162162162163,0.0055762081784386614,0.08753315649867374,0.00558659217877095,0.022957461174881837,0.040882543802725504,0.07885304659498207,0.005076142131979695,0.0017730496453900709,0.015592515592515593,1.0,0.00865051903114187,0.0030441400304414,0.021668472372697724,0.0019127773527161439,0.00277623542476402,0.05772594752186589,0.008357915437561455,0.018593371059013743,0.0014641288433382138,0.005188067444876783,0.0030864197530864196,0.0023674242424242425,0.017280582082764895,0.005215123859191656,0.005747126436781609,0.019662921348314606,0.003351206434316354,0.0,0.0070921985815602835,0.0023084025854108957,0.024072216649949848,0.015439429928741092,0.003281378178835111,0.0038910505836575876,0.0036258158085569255
