date,available_stocks,significant_stocks,positive_stocks,negative_stocks,pct_stocks_significant,pct_stocks_positive,pct_stocks_negative,threshold,breadth_regime
2020-03-09,36,23,23,0,0.6388888888888888,0.6388888888888888,0.0,0.12346839451634756,Market-Wide
2021-03-12,37,21,0,21,0.5675675675675675,0.0,0.5675675675675675,0.12346839451634756,Market-Wide
2025-04-04,38,21,20,1,0.5526315789473685,0.5263157894736842,0.02631578947368421,0.12346839451634756,Market-Wide
2025-04-07,38,21,20,1,0.5526315789473685,0.5263157894736842,0.02631578947368421,0.12346839451634756,Market-Wide
2025-04-08,38,21,21,0,0.5526315789473685,0.5526315789473685,0.0,0.12346839451634756,Market-Wide
2020-03-24,36,19,1,18,0.5277777777777778,0.027777777777777776,0.5,0.12346839451634756,Market-Wide
2026-04-10,38,19,0,19,0.5,0.0,0.5,0.12346839451634756,Market-Wide
2021-03-09,37,18,0,18,0.4864864864864865,0.0,0.4864864864864865,0.12346839451634756,Market-Wide
2020-03-19,36,16,1,15,0.4444444444444444,0.027777777777777776,0.4166666666666667,0.12346839451634756,Market-Wide
2020-03-23,36,16,1,15,0.4444444444444444,0.027777777777777776,0.4166666666666667,0.12346839451634756,Market-Wide
