,WDS,FTI,EOG,KMI,BKR,TRGP,EQT,HAL,TTE,SU,TRP,E,PBA,EQNR,IMO,TS,XOM,CVX,COP,WMB,SLB,VLO,PSX,MPC,OKE,LNG,OXY,FANG,TPL,DVN,EXE,SHEL,ENB,BP,CNQ,CCJ,CVE,PBR
WDS,1.0,1.0,0.25,0.9841897233201581,1.0,0.2857142857142857,1.0,1.0,0.7804878048780488,1.0,1.0,1.0,1.0,1.0,0.13380281690140844,1.0,1.0,1.0,0.9267399267399268,0.8303571428571429,1.0,1.0,0.2777777777777778,0.03333333333333333,0.9555555555555556,0.996,1.0,0.5,0.9496124031007752,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.9853479853479854
FTI,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,,1.0,0.625,1.0,0.9008264462809917,1.0,1.0,1.0,0.31645569620253167,1.0,1.0,0.9974683544303797,1.0,0.9615384615384616,1.0,1.0,1.0,0.75,1.0,0.9,1.0,1.0,0.8875968992248062,1.0,,1.0,0.8582677165354331,1.0,0.875,0.38461538461538464,1.0,0.8108108108108109
EOG,0.25,1.0,1.0,1.0,1.0,1.0,0.9720496894409938,1.0,0.9574468085106383,1.0,0.44366197183098594,1.0,0.1111111111111111,1.0,1.0,1.0,0.7451612903225806,1.0,0.9617834394904459,1.0,1.0,0.16216216216216217,1.0,1.0,1.0,0.26506024096385544,0.9498680738786279,1.0,0.9809027777777778,0.17197452229299362,,1.0,0.0918918918918919,0.7864583333333334,1.0,1.0,1.0,1.0
KMI,0.9841897233201581,1.0,1.0,1.0,1.0,0.996031746031746,1.0,1.0,0.11721611721611722,1.0,1.0,1.0,0.6666666666666666,1.0,0.008097165991902834,0.4782608695652174,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.961038961038961,1.0,1.0,0.5,1.0,1.0,1.0
BKR,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.3333333333333333,0.75,1.0,1.0,1.0,1.0,0.07142857142857142,0.6666666666666666,1.0,1.0,0.25396825396825395,1.0,1.0,1.0,1.0,,0.7142857142857143,0.5789473684210527,1.0,0.8333333333333334,1.0,0.5555555555555556,,1.0,1.0,0.16666666666666666,0.5,1.0,1.0,1.0
TRGP,0.2857142857142857,0.8333333333333334,1.0,0.996031746031746,0.8,1.0,0.064,1.0,0.041666666666666664,1.0,0.0,0.9777777777777777,0.2,0.3333333333333333,1.0,1.0,0.0,0.9819819819819819,0.9916666666666667,1.0,1.0,,1.0,1.0,1.0,0.19736842105263158,1.0,1.0,0.6491228070175439,1.0,,1.0,0.961038961038961,1.0,1.0,,1.0,0.9
EQT,1.0,,0.9720496894409938,1.0,1.0,0.064,1.0,0.9513888888888888,0.1836734693877551,0.9375,0.2799145299145299,1.0,1.0,,0.9478260869565217,0.3333333333333333,1.0,1.0,0.6333333333333333,0.9595375722543352,1.0,0.8393782383419689,1.0,1.0,0.8988970588235294,0.8243243243243243,1.0,1.0,0.25057471264367814,0.28169014084507044,1.0,0.045454545454545456,0.5614035087719298,0.11228070175438597,0.5882352941176471,0.3372093023255814,1.0,1.0
HAL,1.0,1.0,1.0,1.0,1.0,1.0,0.9513888888888888,1.0,0.004901960784313725,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,0.9777777777777777,1.0,0.4158878504672897,1.0,1.0,0.7350427350427351,1.0,0.25,0.9391727493917275,0.10126582278481013,0.9958847736625515,1.0,0.8997050147492626,0.6628787878787878,,0.9333333333333333,0.4,0.5,0.5,1.0,1.0,0.47540983606557374
TTE,0.7804878048780488,0.625,0.9574468085106383,0.11721611721611722,0.3333333333333333,0.041666666666666664,0.1836734693877551,0.004901960784313725,1.0,0.3333333333333333,0.38666666666666666,0.75,0.21818181818181817,1.0,0.038461538461538464,1.0,1.0,0.7063492063492064,0.948051948051948,1.0,0.96875,0.0,0.0196078431372549,1.0,0.7272727272727273,0.7272727272727273,0.9672131147540983,0.14285714285714285,0.6414141414141414,0.1791044776119403,1.0,0.3333333333333333,1.0,0.5,0.008,1.0,0.02040816326530612,0.9666666666666667
SU,1.0,1.0,1.0,1.0,0.75,1.0,0.9375,0.8333333333333334,0.3333333333333333,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42857142857142855,0.391304347826087,,1.0,,1.0,1.0,,1.0,1.0
