date,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9
1980-01-02,,,,,,,,,
1980-01-03,,,,,,,,,
1980-01-04,,,,,,,,,
1980-01-07,,,,,,,,,
1980-01-08,,,,,,,,,
1980-01-09,,,,,,,,,
1980-01-10,,,,,,,,,
1980-01-11,,,,,,,,,
1980-01-14,,,,,,,,,
1980-01-15,,,,,,,,,
1980-01-16,,,,,,,,,
1980-01-17,,,,,,,,,
1980-01-18,,,,,,,,,
1980-01-21,,,,,,,,,
1980-01-22,,,,,,,,,
1980-01-23,,,,,,,,,
1980-01-24,,,,,,,,,
1980-01-25,,,,,,,,,
1980-01-28,,,,,,,,,
1980-01-29,,,,,,,,,
1980-01-30,,,,,,,,,
1980-01-31,,,,,,,,,
1980-02-01,,,,,,,,,
1980-02-04,,,,,,,,,
1980-02-05,,,,,,,,,
1980-02-06,,,,,,,,,
1980-02-07,,,,,,,,,
1980-02-08,,,,,,,,,
1980-02-11,,,,,,,,,
1980-02-12,,,,,,,,,
1980-02-13,,,,,,,,,
1980-02-14,,,,,,,,,
1980-02-15,,,,,,,,,
1980-02-19,,,,,,,,,
1980-02-20,,,,,,,,,
1980-02-21,,,,,,,,,
1980-02-22,,,,,,,,,
1980-02-25,,,,,,,,,
1980-02-26,,,,,,,,,
1980-02-27,,,,,,,,,
1980-02-28,,,,,,,,,
1980-02-29,,,,,,,,,
1980-03-03,,,,,,,,,
1980-03-04,,,,,,,,,
1980-03-05,,,,,,,,,
1980-03-06,,,,,,,,,
1980-03-07,,,,,,,,,
1980-03-10,,,,,,,,,
1980-03-11,,,,,,,,,
1980-03-12,,,,,,,,,
1980-03-13,,,,,,,,,
1980-03-14,,,,,,,,,
1980-03-17,,,,,,,,,
1980-03-18,,,,,,,,,
1980-03-19,,,,,,,,,
1980-03-20,,,,,,,,,
1980-03-21,,,,,,,,,
1980-03-24,,,,,,,,,
1980-03-25,,,,,,,,,
1980-03-26,,,,,,,,,
1980-03-27,,,,,,,,,
1980-03-28,,,,,,,,,
1980-03-31,,,,,,,,,
1980-04-01,,,,,,,,,
1980-04-02,,,,,,,,,
1980-04-03,,,,,,,,,
1980-04-07,,,,,,,,,
1980-04-08,,,,,,,,,
1980-04-09,,,,,,,,,
1980-04-10,,,,,,,,,
1980-04-11,,,,,,,,,
1980-04-14,,,,,,,,,
1980-04-15,,,,,,,,,
1980-04-16,,,,,,,,,
1980-04-17,,,,,,,,,
1980-04-18,,,,,,,,,
1980-04-21,,,,,,,,,
1980-04-22,,,,,,,,,
1980-04-23,,,,,,,,,
1980-04-24,,,,,,,,,
1980-04-25,,,,,,,,,
1980-04-28,,,,,,,,,
1980-04-29,,,,,,,,,
1980-04-30,,,,,,,,,
1980-05-01,,,,,,,,,
1980-05-02,,,,,,,,,
1980-05-05,,,,,,,,,
1980-05-06,,,,,,,,,
1980-05-07,,,,,,,,,
1980-05-08,,,,,,,,,
1980-05-09,,,,,,,,,
1980-05-12,,,,,,,,,
1980-05-13,,,,,,,,,
1980-05-14,,,,,,,,,
1980-05-15,,,,,,,,,
1980-05-16,,,,,,,,,
1980-05-19,,,,,,,,,
1980-05-20,,,,,,,,,
1980-05-21,,,,,,,,,
1980-05-22,,,,,,,,,
1980-05-23,,,,,,,,,
1980-05-27,,,,,,,,,
1980-05-28,,,,,,,,,
1980-05-29,,,,,,,,,
1980-05-30,,,,,,,,,
1980-06-02,,,,,,,,,
1980-06-03,,,,,,,,,
1980-06-04,,,,,,,,,
1980-06-05,,,,,,,,,
1980-06-06,,,,,,,,,
1980-06-09,,,,,,,,,
1980-06-10,,,,,,,,,
1980-06-11,,,,,,,,,
1980-06-12,,,,,,,,,
1980-06-13,,,,,,,,,
1980-06-16,,,,,,,,,
1980-06-17,,,,,,,,,
1980-06-18,,,,,,,,,
1980-06-19,,,,,,,,,
1980-06-20,,,,,,,,,
1980-06-23,,,,,,,,,
1980-06-24,,,,,,,,,
1980-06-25,,,,,,,,,
1980-06-26,,,,,,,,,
1980-06-27,,,,,,,,,
1980-06-30,,,,,,,,,
1980-07-01,,,,,,,,,
1980-07-02,,,,,,,,,
1980-07-03,,,,,,,,,
1980-07-07,,,,,,,,,
1980-07-08,,,,,,,,,
1980-07-09,,,,,,,,,
1980-07-10,,,,,,,,,
1980-07-11,,,,,,,,,
1980-07-14,,,,,,,,,
1980-07-15,,,,,,,,,
1980-07-16,,,,,,,,,
1980-07-17,,,,,,,,,
1980-07-18,,,,,,,,,
1980-07-21,,,,,,,,,
1980-07-22,,,,,,,,,
1980-07-23,,,,,,,,,
1980-07-24,,,,,,,,,
1980-07-25,,,,,,,,,
1980-07-28,,,,,,,,,
1980-07-29,,,,,,,,,
1980-07-30,,,,,,,,,
1980-07-31,,,,,,,,,
1980-08-01,,,,,,,,,
1980-08-04,,,,,,,,,
1980-08-05,,,,,,,,,
1980-08-06,,,,,,,,,
1980-08-07,,,,,,,,,
1980-08-08,,,,,,,,,
1980-08-11,,,,,,,,,
1980-08-12,,,,,,,,,
1980-08-13,,,,,,,,,
1980-08-14,,,,,,,,,
1980-08-15,,,,,,,,,
1980-08-18,,,,,,,,,
1980-08-19,,,,,,,,,
1980-08-20,,,,,,,,,
1980-08-21,,,,,,,,,
1980-08-22,,,,,,,,,
1980-08-25,,,,,,,,,
1980-08-26,,,,,,,,,
1980-08-27,,,,,,,,,
1980-08-28,,,,,,,,,
1980-08-29,,,,,,,,,
1980-09-02,,,,,,,,,
1980-09-03,,,,,,,,,
1980-09-04,,,,,,,,,
1980-09-05,,,,,,,,,
1980-09-08,,,,,,,,,
1980-09-09,,,,,,,,,
1980-09-10,,,,,,,,,
1980-09-11,,,,,,,,,
1980-09-12,,,,,,,,,
1980-09-15,,,,,,,,,
1980-09-16,,,,,,,,,
1980-09-17,,,,,,,,,
1980-09-18,,,,,,,,,
1980-09-19,,,,,,,,,
1980-09-22,,,,,,,,,
1980-09-23,,,,,,,,,
1980-09-24,,,,,,,,,
1980-09-25,,,,,,,,,
1980-09-26,,,,,,,,,
1980-09-29,,,,,,,,,
1980-09-30,,,,,,,,,
1980-10-01,,,,,,,,,
1980-10-02,,,,,,,,,
1980-10-03,,,,,,,,,
1980-10-06,,,,,,,,,
1980-10-07,,,,,,,,,
1980-10-08,,,,,,,,,
1980-10-09,,,,,,,,,
1980-10-10,,,,,,,,,
1980-10-13,,,,,,,,,
1980-10-14,,,,,,,,,
1980-10-15,,,,,,,,,
1980-10-16,,,,,,,,,
1980-10-17,,,,,,,,,
1980-10-20,,,,,,,,,
1980-10-21,,,,,,,,,
1980-10-22,,,,,,,,,
1980-10-23,,,,,,,,,
1980-10-24,,,,,,,,,
1980-10-27,,,,,,,,,
1980-10-28,,,,,,,,,
1980-10-29,,,,,,,,,
1980-10-30,,,,,,,,,
1980-10-31,,,,,,,,,
1980-11-03,,,,,,,,,
1980-11-05,,,,,,,,,
1980-11-06,,,,,,,,,
1980-11-07,,,,,,,,,
1980-11-10,,,,,,,,,
1980-11-11,,,,,,,,,
1980-11-12,,,,,,,,,
1980-11-13,,,,,,,,,
1980-11-14,,,,,,,,,
1980-11-17,,,,,,,,,
1980-11-18,,,,,,,,,
1980-11-19,,,,,,,,,
1980-11-20,,,,,,,,,
1980-11-21,,,,,,,,,
1980-11-24,,,,,,,,,
1980-11-25,,,,,,,,,
1980-11-26,,,,,,,,,
1980-11-28,,,,,,,,,
1980-12-01,,,,,,,,,
1980-12-02,,,,,,,,,
1980-12-03,,,,,,,,,
1980-12-04,,,,,,,,,
1980-12-05,,,,,,,,,
1980-12-08,,,,,,,,,
1980-12-09,,,,,,,,,
1980-12-10,,,,,,,,,
1980-12-11,,,,,,,,,
1980-12-12,,,,,,,,,
1980-12-15,,,,,,,,,
1980-12-16,,,,,,,,,
1980-12-17,,,,,,,,,
1980-12-18,,,,,,,,,
1980-12-19,,,,,,,,,
1980-12-22,,,,,,,,,
1980-12-23,,,,,,,,,
1980-12-24,,,,,,,,,
1980-12-26,,,,,,,,,
1980-12-29,,,,,,,,,
1980-12-30,,,,,,,,,
1980-12-31,,,,,,,,,
1981-01-02,0.016463694223248424,0.0721620277185192,,,,0.022327196553731138,,,
1981-01-05,0.01723248798770715,0.07382126548190265,,,,0.020947245908373914,,,
1981-01-06,0.01721881154626224,0.07291810520821872,,,,0.01830955241851201,,,
1981-01-07,0.017243906825232434,0.07694201640814706,,,,0.03238079536046537,,,
1981-01-08,0.018153500914086008,0.08590355785970796,,,,0.048649735597794064,,,
1981-01-09,0.01795763315558601,0.08154259655112048,,,,0.049034691851151384,,,
1981-01-12,0.01799718446810995,0.08161963167352482,,,,0.0501888989555934,,,
1981-01-13,0.01856163777828705,0.08206931525640887,,,,0.050589336301036965,,,
1981-01-14,0.01788521347271007,0.07737806566398384,,,,0.051944738540455,,,
1981-01-15,0.020343010984548344,0.07613765589300298,,,,0.05350267796062191,,,
1981-01-16,0.02025188266808272,0.07791757474135967,,,,0.052846995606958526,,,
1981-01-19,0.020459679254541962,0.07657807086573783,,,,0.05423230094732825,,,
