k,silhouette_score
2,0.1015984771729385
3,0.09147863204277672
4,0.08586887453763589
5,0.1027790766932889
6,0.10108358042842736
7,0.11522637987457712
8,0.12298319181617652
9,0.12939891559573122
10,0.11089502164670104
11,0.11865850289058845
12,0.1228653081564367
13,0.12475572980831633
14,0.10809055113674844
15,0.11631498751290283
16,0.08986834783350431
17,0.10085059103678062
18,0.10885855235918313
19,0.09836057183896896
20,0.10139261648816716
21,0.10292781161730213
22,0.10244389689443509
23,0.09862923430735027
24,0.09077981602737997
25,0.08333977052785214
26,0.08364536115448737
27,0.08158893444734376
28,0.0687878990677816
29,0.06598490354402228
30,0.061619373742786414
31,0.05635461184964818
32,0.05129595923902937
33,0.04274431571646977
34,0.03492935621093143
35,0.02845796342257158
36,0.022755679627118375
37,0.01287587842071951
