ticker,cluster,annualized_volatility
TS,1,0.40013519176823675
WDS,1,0.39583252337157865
TTE,1,0.3918985634092428
EQNR,1,0.3664868876487685
BP,1,0.30488092186202786
SHEL,1,0.29723617534442126
E,1,0.2939155012507241
FANG,2,0.47881292906978223
CVE,2,0.46472925095352013
DVN,2,0.4157663564293219
CNQ,2,0.41330401934239297
EOG,2,0.38494426553450245
COP,2,0.37416157707141595
SU,2,0.3643071104231123
OXY,2,0.36325529027551434
IMO,2,0.29463848411752025
CVX,2,0.28988562855734246
XOM,2,0.2477139898698698
TPL,3,0.3575788969331377
LNG,4,0.905165624132661
TRGP,4,0.48628773679546305
WMB,4,0.45843083326824935
OKE,4,0.3416627041072975
PBA,4,0.30496246652509923
KMI,4,0.2859845700940804
ENB,4,0.2560530018488106
TRP,4,0.22635175520890308
VLO,5,0.4174851954444024
MPC,5,0.3946294782870235
PSX,5,0.3353261372896473
FTI,6,0.4346615203766013
HAL,6,0.4248886553029663
BKR,6,0.40030697708654805
SLB,6,0.3625363144266495
EXE,7,0.34523685078761623
EQT,7,0.3428673825486513
PBR,8,0.49444293991979354
CCJ,9,0.4360221301262033
