,WDS,FTI,EOG,KMI,BKR,TRGP,EQT,HAL,TTE,SU,TRP,E,PBA,EQNR,IMO,TS,XOM,CVX,COP,WMB,SLB,VLO,PSX,MPC,OKE,LNG,OXY,FANG,TPL,DVN,EXE,SHEL,ENB,BP,CNQ,CCJ,CVE,PBR
WDS,1.0,0.5453515359962531,0.5617242502310636,0.465840528483634,0.537897942363503,0.4720788250706384,0.4029495583476635,0.5815608422877442,0.2168163616769415,0.6275181817971425,0.5008116944641908,0.6116875053757465,0.5265460531305948,0.6504709391433081,0.5898209126635603,0.581902927963374,0.5881217286852186,0.6099531595663922,0.595231354786427,0.500283183141374,0.5740772012667538,0.5005173423847364,0.48699560788493684,0.47745571851615076,0.5208914896961305,0.3128875389135817,0.5757371291048581,0.49477966791723044,0.372427586736551,0.5615746101168734,0.3828308191473352,0.6080374879701028,0.515752416805035,0.5793220207239624,0.6326468488756782,0.4339830229000372,0.5452625556560257,0.5441540684677485
FTI,0.5453515359962531,1.0,0.6608100017950714,0.5347502393877156,0.6807524232515301,0.5606932277737465,0.44723594368971537,0.6743192864489093,0.24937403221073332,0.6282970706192497,0.43336549463391744,0.5968844485445491,0.5229149696128971,0.6188469628729745,0.60437631796767,0.6310206150099489,0.6207832629808675,0.6436286615063279,0.6638406124598796,0.4198279082442933,0.7153490200448509,0.5514712241069881,0.5727991511704399,0.5443213280114284,0.5554910559079105,0.3126677927047284,0.6414832662742812,0.6290188193258331,0.3601420509351125,0.6488994928400291,0.4232773881622887,0.6097423490609557,0.43642206255353805,0.6112730893190867,0.6386591697186276,0.44290726492392085,0.6187763965226183,0.5236416516545939
EOG,0.5617242502310636,0.6608100017950714,1.0,0.5765719811639854,0.6480801839890559,0.6253844534765599,0.4423346097715006,0.6059815586989931,0.2400531029668168,0.6098784632838421,0.354665268400738,0.5506673488957049,0.5736621244586445,0.7066812214317943,0.5584948087683475,0.6249209948025355,0.5906804653743327,0.6039535746162535,0.6535312796938393,0.3921011309013678,0.6267493402190301,0.4932918417052609,0.6370097988254696,0.571745878149162,0.48208410400516133,0.19848046302873062,0.6321827773534819,0.7920609593433502,0.3225217905070384,0.6977519055979994,0.5277902728187608,0.5501762078035535,0.33742204850354784,0.5629415742427023,0.7157912618983878,0.37335348611764446,0.7115542342971457,0.5415999052058241
KMI,0.465840528483634,0.5347502393877156,0.5765719811639854,1.0,0.607510665587191,0.6784630389083791,0.41596449167958705,0.5833891056906835,0.31376122390761657,0.5645328770690883,0.6029605443835767,0.522344521326998,0.6530994564579904,0.5757159556699626,0.5465204665834019,0.5020399722908415,0.5806544291869276,0.6345304010014077,0.6244923167435156,0.668872001693696,0.5638095733959279,0.4625885042201611,0.5362743384739312,0.510906062368282,0.7147322618191244,0.44926364534144575,0.5337659200062022,0.5492100205429745,0.4023074160608757,0.6006103040720837,0.5553925713307625,0.588600128488698,0.6372699274702538,0.5776149826843201,0.5717597562584938,0.34677937232286227,0.5272855941677195,0.45241041063056237
BKR,0.537897942363503,0.6807524232515301,0.6480801839890559,0.607510665587191,1.0,0.6079563276650013,0.3702812908914043,0.7454554062368941,0.34905960041895945,0.6067635083440276,0.49031111246395875,0.5929995776641245,0.5435936537221424,0.5723027647789881,0.6024890146136557,0.641009500372363,0.6608174120140781,0.6684373667070287,0.6703911189086574,0.5871798942004209,0.7601530608903514,0.5907683281781836,0.6200864136373221,0.5868501079938483,0.6202150997199536,0.5054280054487875,0.6175138192687825,0.6330909172429258,0.5035203656464842,0.6579566522274092,0.4322403817638309,0.6137383390014108,0.5056025178646346,0.6162769676680436,0.5994309084376078,0.35510295758829424,0.6306905360045832,0.5087701747166812
TRGP,0.4720788250706384,0.5606932277737465,0.6253844534765599,0.6784630389083791,0.6079563276650013,1.0,0.3306417644558797,0.6442298752063981,0.35227381201534747,0.5916193107718302,0.5438688306831758,0.5280301243642913,0.6634726691447469,0.5785388139501465,0.5905188717833907,0.5314196251921643,0.5416029910646972,0.5918055750467099,0.6333256875020213,0.6424590666275476,0.6041029399806974,0.4476672243979237,0.520167963952273,0.5180619077841019,0.7901760796488936,0.4286309204160557,0.6215570117280148,0.6383232586183136,0.4553538557625064,0.6732938979020846,0.5417618246352112,0.5925055330779033,0.5861558030440731,0.5703202178974177,0.6297911355062046,0.34004199939615853,0.6680944037429298,0.48280899816141115
EQT,0.4029495583476635,0.44723594368971537,0.4423346097715006,0.41596449167958705,0.3702812908914043,0.3306417644558797,1.0,0.3907937724073925,0.09632483396325009,0.43398724378491577,0.32038602891059553,0.3889753968963831,0.30526639465886796,0.3550786939218654,0.4035312594040309,0.4266189417963443,0.4159094619876317,0.43468988948282467,0.42118167911045606,0.3335924936308552,0.40930572424280975,0.35360441817557764,0.35206961214208715,0.32145909231296743,0.36272494385503085,0.171825185895874,0.4139689447110421,0.35759126628992877,0.26064450273908857,0.4659098384966797,0.7447324421367055,0.3407407619678371,0.290207578102518,0.383393930449486,0.46896179771679963,0.32779050073244614,0.3559295895536194,0.3618515450414523
HAL,0.5815608422877442,0.6743192864489093,0.6059815586989931,0.5833891056906835,0.7454554062368941,0.6442298752063981,0.3907937724073925,1.0,0.26027818684134557,0.5742983686058183,0.34250116037606804,0.534238027948777,0.6031536866145674,0.6866660392501962,0.5327007572758181,0.6603679476798535,0.5758850952371375,0.5581598099993678,0.5128027084293997,0.38323001101355325,0.7576976078864474,0.42852665099358545,0.6322831222747771,0.5950841568134877,0.4548864869331444,0.18870092951803616,0.5871253237002895,0.7515324319996337,0.3268092359093397,0.6238549111146091,0.47992800910157885,0.5125006319435714,0.32456834472908963,0.5183630469126524,0.657795361172351,0.3562621530642027,0.7092216237489999,0.5275232246218994
TTE,0.2168163616769415,0.24937403221073332,0.2400531029668168,0.31376122390761657,0.34905960041895945,0.35227381201534747,0.09632483396325009,0.26027818684134557,1.0,0.27567316203290504,0.19991048309416756,0.3002268745524719,0.38920456097886125,0.4827384366342262,0.25840547778210027,0.21076417152744595,0.23480508647513235,0.24825133516391354,0.2571476909963378,0.187131933406696,0.22620598415096216,0.19405470075320516,0.3271762013006247,0.2967920858615299,0.2585575242934057,0.15643338871637555,0.2058741136708828,0.3537104882933539,0.18263767232639203,0.2458823976414009,0.2052233203268647,0.31272078949650084,0.20800078008275596,0.294947063649013,0.2505720322064769,0.13062857102058062,0.3508177556902036,0.20565524219009979
SU,0.6275181817971425,0.6282970706192497,0.6098784632838421,0.5645328770690883,0.6067635083440276,0.5916193107718302,0.43398724378491577,0.5742983686058183,0.27567316203290504,1.0,0.48239018388090277,0.5712082494236712,0.6432529252485695,0.7038239388724339,0.7091696602217349,0.6373043904088157,0.5774347782160943,0.6138586811993064,0.6423959885372805,0.39004329871022125,0.5979274503233497,0.5298478377224696,0.6263509641840748,0.5896441463856535,0.508224938691604,0.20366366731357052,0.623425860138601,0.6725974679310659,0.33285968742158506,0.6147710934333338,0.49285955686492144,0.5852301008676811,0.46723082050924875,0.5999660183504537,0.8096122863950413,0.43529795624784556,0.7590008501496334,0.5769970112506646
