,lasso_score,abs_correlation,lasso_rank,correlation_rank,combined_rank
COP,0.006322716688989446,0.8377442309866501,1.0,1.0,2.0
SU,0.001427916089779117,0.7652247785704397,4.0,4.0,8.0
HAL,0.0006272222638824691,0.7683510519665852,8.0,3.0,11.0
KMI,0.0017861444245325338,0.7122844317656986,2.0,11.0,13.0
EOG,8.165854604230635e-05,0.7822640764795418,12.0,2.0,14.0
SLB,0.0007331899440894385,0.7362171122206081,7.0,7.0,14.0
VLO,0.0015268329467692163,0.7021071485473525,3.0,14.0,17.0
OXY,0.00043898972097563074,0.7076556037838179,9.0,12.0,21.0
BKR,0.0008494863024953713,0.6804318472615241,5.0,18.0,23.0
E,0.0007877907761804988,0.6673401560303547,6.0,21.0,27.0
DVN,0.0,0.7526972973744231,23.5,5.0,28.5
CNQ,0.0,0.7491661314105916,23.5,6.0,29.5
OKE,5.963371444130315e-05,0.6972808868441631,13.0,17.0,30.0
PBA,0.0003055017212956076,0.6734481978630464,10.0,20.0,30.0
FANG,0.0,0.7255542998536857,23.5,8.0,31.5
CVE,0.0,0.7252309660727574,23.5,9.0,32.5
EQNR,0.0001207666057495494,0.6464589722061735,11.0,22.0,33.0
IMO,0.0,0.7136074893975651,23.5,10.0,33.5
PSX,0.0,0.7031250245175434,23.5,13.0,36.5
TRGP,0.0,0.6995828416206286,23.5,15.0,38.5
MPC,0.0,0.698237705529596,23.5,16.0,39.5
WMB,0.0,0.6751473047397638,23.5,19.0,42.5
TS,0.0,0.6418584397681711,23.5,23.0,46.5
FTI,0.0,0.6339502979725863,23.5,24.0,47.5
ENB,0.0,0.5993271145425869,23.5,25.0,48.5
EXE,0.0,0.5432332008203993,23.5,26.0,49.5
TPL,0.0,0.5382539078460523,23.5,27.0,50.5
WDS,0.0,0.5277857868393727,23.5,28.0,51.5
LNG,0.0,0.5195353620182649,23.5,29.0,52.5
TRP,0.0,0.51460947948251,23.5,30.0,53.5
EQT,0.0,0.4867134750637136,23.5,31.0,54.5
PBR,0.0,0.4207198642944174,23.5,32.0,55.5
CCJ,0.0,0.3754877809678248,23.5,33.0,56.5
