ticker,first_date,last_date,observations
CVX,1980-01-02,2026-08-24,11756
BP,1980-01-02,2026-08-24,11756
XOM,1980-01-02,2026-08-24,11756
HAL,1980-01-02,2026-08-24,11756
COP,1981-12-31,2026-08-24,11251
SLB,1981-12-31,2026-08-24,11251
WMB,1981-12-31,2026-08-24,11251
OXY,1981-12-31,2026-08-24,11251
VLO,1982-01-04,2026-08-24,11250
OKE,1985-07-01,2026-08-24,10366
IMO,1986-07-16,2026-08-24,10104
EQT,1987-11-05,2026-08-24,9772
TRP,1987-12-30,2026-08-24,9735
SHEL,1987-12-30,2026-08-24,9735
TPL,1987-12-31,2026-08-24,9734
EOG,1989-10-04,2026-08-24,9289
ENB,1990-03-27,2026-08-24,9169
DVN,1992-03-17,2026-08-24,8670
SU,1993-12-01,2026-08-24,8237
LNG,1994-04-04,2026-08-24,8152
E,1995-11-28,2026-08-24,7734
CCJ,1996-03-14,2026-08-24,7660
CNQ,2000-07-31,2026-08-24,6555
PBR,2000-08-10,2026-08-24,6547
FTI,2001-06-14,2026-08-24,6335
TS,2002-12-16,2026-08-24,5959
TTE,2007-07-13,2026-08-24,4732
WDS,2007-07-13,2026-08-24,4808
CVE,2009-11-17,2026-08-24,4216
PBA,2010-10-06,2026-08-24,3994
TRGP,2010-12-07,2026-08-24,3951
KMI,2011-02-11,2026-08-24,3905
MPC,2011-06-23,2026-08-24,3814
PSX,2012-04-12,2026-08-24,3612
FANG,2012-10-12,2026-08-24,3484
BKR,2017-07-05,2026-08-24,2297
EQNR,2018-05-16,2026-08-24,2079
EXE,2021-02-10,2026-08-24,1390
