ticker,distance_to_cluster_1,distance_to_cluster_2,distance_to_cluster_3,distance_to_cluster_4,distance_to_cluster_5,assigned_cluster,closest_cluster
WDS,47.05326472570644,41.58367831903283,79.24923414149178,71.21422602272291,54.478326690427224,2,2
FTI,54.02056432308843,45.417796007566324,80.88247019815763,74.31253046325038,57.58798100693593,2,2
EOG,37.18781072839745,26.223773743702672,78.84802988813443,62.22740682776667,42.92631697299038,2,2
KMI,19.172377895881986,33.739329973620244,73.21614853769749,63.10014957813887,44.657388939714906,1,1
BKR,43.39282330789879,36.65867938111017,77.71663221094228,66.6048011539879,49.83975312883965,2,2
TRGP,30.153620110769754,36.2202948037088,75.70583203303491,62.99706647331748,47.14537584898243,1,1
EQT,48.07231303069281,57.97398966266994,86.02135743638108,75.63801803357123,66.1349548923901,1,1
HAL,46.45294245024356,34.03951199787238,82.07854428178514,65.50577725489694,49.361067913867906,2,2
TTE,56.86522321762104,52.04185995727267,89.21962318215024,80.42006156528002,63.27632429006397,2,2
SU,37.83842754828832,26.726781625049746,75.54195411304003,63.81703484322683,43.35277447465672,2,2
TRP,28.2898096888859,40.0058472974243,74.12668395211857,69.59956255071832,51.298336769721395,1,1
E,34.46219253213258,28.26750894975857,74.25212246302183,66.13669637654951,45.96604434831554,2,2
PBA,24.08009249076251,32.55297317539073,72.06481511736557,65.26117913499468,45.00215421070414,1,1
EQNR,44.9986320551988,36.49963982194853,80.78000984025248,70.2275509599701,51.54972978506269,2,2
IMO,40.844499359082654,31.528620260176993,74.95439319780796,67.49305274433986,45.5688240148187,2,2
TS,42.764822195502234,35.28322688576613,76.15026832161257,67.77171073931758,50.17361005595377,2,2
XOM,32.02945169166665,23.11743037853946,75.50483813703812,62.967187681198105,38.12344286411137,2,2
CVX,30.34736923246888,23.825066356348785,75.82020577132351,63.066060582942235,37.88025821534238,2,2
COP,36.13457377042606,23.404278883542293,78.56888261284658,62.695977792959525,39.98505847664568,2,2
WMB,21.173473738268083,36.09667322104662,73.05191786432162,64.23053801837209,47.09381821305557,1,1
SLB,45.89370798523779,35.02797311985618,79.93122626595498,67.88809657112984,48.98779413901338,2,2
VLO,48.5374798506542,42.71726213966258,82.12872465013137,70.02423389103883,18.61827895488812,5,5
PSX,42.26335998702176,36.89259941677426,79.10147357082371,66.89343872894123,20.076799727141285,5,5
MPC,42.58102719804843,38.40534855405825,78.58248449933829,67.77900086665178,17.886725138208764,5,5
OKE,24.89824314460693,33.17148726502668,74.84585475142694,62.3432652471309,44.528995714489554,1,1
LNG,34.41970075262406,42.26279329046894,78.61089721250382,68.36598193818874,50.77236770444214,1,1
OXY,45.80696949938647,34.05884103354554,81.31068546743418,66.53655773712806,48.17659554147051,2,2
FANG,43.6705135147514,31.650449928024226,79.9793991607029,63.929808943625225,46.15861712003716,2,2
TPL,59.75762437333299,58.4449720829357,87.87463569420298,0.0,65.58065085779369,4,4
DVN,45.545709033848084,33.14740289306233,82.98514777544038,65.9174338693722,48.187867730928524,2,2
EXE,36.85453705021765,46.68641851633769,79.28860560633166,70.00063881773164,56.15437915676136,1,1
SHEL,31.33599591841739,23.711838545956812,72.25572862839066,64.16416894822746,41.99903605276718,2,2
ENB,24.269449801963113,35.97436242485036,72.97472567925064,67.2097846392606,47.68710064742333,1,1
BP,35.805303257927775,25.41037934007993,76.2762356076971,66.20961439605797,43.00477923855682,2,2
CNQ,38.76631443242695,27.333282781359813,75.46369660152732,64.35693131285788,46.49578180339752,2,2
CCJ,69.81529621701067,71.24136262904159,1.3486991523486091e-06,87.87463569420298,77.69110688945457,3,3
CVE,47.9224896242066,34.42513619107225,80.24197827338513,68.19253114914305,49.733468191242565,2,2
PBR,55.47335774269324,49.34355600363838,84.86638084580076,78.92839968420924,61.767935069721865,2,2
