k,silhouette_score
2,0.08919487508834878
3,0.09413573749580337
4,0.1058074724149971
5,0.12346979644034535
6,0.1300284333294202
7,0.12236774194949712
8,0.1267277869189957
9,0.1260375546458231
10,0.13363082227390094
11,0.12057177245478765
12,0.12433094130369265
13,0.12520016072426687
14,0.11660507452610218
15,0.11140689154424571
16,0.11527296813338367
17,0.10188567042306446
18,0.09723927377415381
19,0.10835589141681184
20,0.09893638216029514
21,0.10379405825001008
22,0.09527071749425298
23,0.09297063370603015
24,0.08800518732681412
25,0.08570510353859127
26,0.07220080516188462
27,0.06931725448510394
28,0.0650894843029191
29,0.05927231738262405
30,0.05424320795599722
31,0.04529512505505029
32,0.03719651738109885
33,0.030663930909734762
34,0.024615956536922372
35,0.014041680636261865
