historical_cluster,recent_cluster,historical_size,recent_size,shared_stocks,jaccard_similarity,historical_retention,recent_purity,shared_tickers
1,1,7,37,7,0.1891891891891892,1.0,0.1891891891891892,BP|E|EQNR|SHEL|TS|TTE|WDS
1,2,7,1,0,0.0,0.0,0.0,
2,1,11,37,11,0.2972972972972973,1.0,0.2972972972972973,CNQ|COP|CVE|CVX|DVN|EOG|FANG|IMO|OXY|SU|XOM
2,2,11,1,0,0.0,0.0,0.0,
3,1,1,37,1,0.02702702702702703,1.0,0.02702702702702703,TPL
3,2,1,1,0,0.0,0.0,0.0,
4,1,8,37,8,0.21621621621621623,1.0,0.21621621621621623,ENB|KMI|LNG|OKE|PBA|TRGP|TRP|WMB
4,2,8,1,0,0.0,0.0,0.0,
5,1,3,37,3,0.08108108108108109,1.0,0.08108108108108109,MPC|PSX|VLO
5,2,3,1,0,0.0,0.0,0.0,
6,1,4,37,4,0.10810810810810811,1.0,0.10810810810810811,BKR|FTI|HAL|SLB
6,2,4,1,0,0.0,0.0,0.0,
7,1,2,37,2,0.05405405405405406,1.0,0.05405405405405406,EQT|EXE
7,2,2,1,0,0.0,0.0,0.0,
8,1,1,37,1,0.02702702702702703,1.0,0.02702702702702703,PBR
8,2,1,1,0,0.0,0.0,0.0,
9,1,1,37,0,0.0,0.0,0.0,
9,2,1,1,1,1.0,1.0,1.0,CCJ
