ticker,historical_cluster,recent_cluster,matched_historical_cluster,cluster_jaccard_similarity,cluster_historical_retention,cluster_recent_purity,retained_group
BKR,6,1,2,0.2972972972972973,1.0,0.2972972972972973,False
BP,1,1,2,0.2972972972972973,1.0,0.2972972972972973,False
E,1,1,2,0.2972972972972973,1.0,0.2972972972972973,False
ENB,4,1,2,0.2972972972972973,1.0,0.2972972972972973,False
EQNR,1,1,2,0.2972972972972973,1.0,0.2972972972972973,False
EQT,7,1,2,0.2972972972972973,1.0,0.2972972972972973,False
EXE,7,1,2,0.2972972972972973,1.0,0.2972972972972973,False
FTI,6,1,2,0.2972972972972973,1.0,0.2972972972972973,False
HAL,6,1,2,0.2972972972972973,1.0,0.2972972972972973,False
KMI,4,1,2,0.2972972972972973,1.0,0.2972972972972973,False
LNG,4,1,2,0.2972972972972973,1.0,0.2972972972972973,False
MPC,5,1,2,0.2972972972972973,1.0,0.2972972972972973,False
OKE,4,1,2,0.2972972972972973,1.0,0.2972972972972973,False
PBA,4,1,2,0.2972972972972973,1.0,0.2972972972972973,False
PBR,8,1,2,0.2972972972972973,1.0,0.2972972972972973,False
PSX,5,1,2,0.2972972972972973,1.0,0.2972972972972973,False
SHEL,1,1,2,0.2972972972972973,1.0,0.2972972972972973,False
SLB,6,1,2,0.2972972972972973,1.0,0.2972972972972973,False
TPL,3,1,2,0.2972972972972973,1.0,0.2972972972972973,False
TRGP,4,1,2,0.2972972972972973,1.0,0.2972972972972973,False
TRP,4,1,2,0.2972972972972973,1.0,0.2972972972972973,False
TS,1,1,2,0.2972972972972973,1.0,0.2972972972972973,False
TTE,1,1,2,0.2972972972972973,1.0,0.2972972972972973,False
VLO,5,1,2,0.2972972972972973,1.0,0.2972972972972973,False
WDS,1,1,2,0.2972972972972973,1.0,0.2972972972972973,False
WMB,4,1,2,0.2972972972972973,1.0,0.2972972972972973,False
CNQ,2,1,2,0.2972972972972973,1.0,0.2972972972972973,True
COP,2,1,2,0.2972972972972973,1.0,0.2972972972972973,True
CVE,2,1,2,0.2972972972972973,1.0,0.2972972972972973,True
CVX,2,1,2,0.2972972972972973,1.0,0.2972972972972973,True
DVN,2,1,2,0.2972972972972973,1.0,0.2972972972972973,True
EOG,2,1,2,0.2972972972972973,1.0,0.2972972972972973,True
FANG,2,1,2,0.2972972972972973,1.0,0.2972972972972973,True
IMO,2,1,2,0.2972972972972973,1.0,0.2972972972972973,True
OXY,2,1,2,0.2972972972972973,1.0,0.2972972972972973,True
SU,2,1,2,0.2972972972972973,1.0,0.2972972972972973,True
XOM,2,1,2,0.2972972972972973,1.0,0.2972972972972973,True
CCJ,9,2,9,1.0,1.0,1.0,True
