stock_1,stock_2,observations,correlation,volatility_1,volatility_2,volatility_difference,return_difference_std
VLO,MPC,3813,0.8336686309134881,0.024536247676562012,0.024859320465776852,0.00032307278921483995,0.014248280300983867
VLO,PSX,3611,0.820970158527957,0.02395232643156769,0.021123561127816888,0.0028287653037508027,0.013753735082531355
SU,CNQ,6554,0.8096122863950411,0.024212068326657395,0.026035705977223836,0.0018236376505664405,0.015599942876210129
PSX,MPC,3611,0.7953874142164475,0.021123561127816888,0.02433893147995671,0.003215370352139823,0.01485703401542727
EOG,FANG,3483,0.7920609593433507,0.023618231456033107,0.03016237940097745,0.006544147944944342,0.018414395340344027
CNQ,CVE,4215,0.7905804343187129,0.024476952401484786,0.02927519107143669,0.004798238669951903,0.017976361872546264
TRGP,OKE,3950,0.7901760796488911,0.030633248028124498,0.02398150969617993,0.006651738331944566,0.018775839796086963
FANG,DVN,3483,0.7881247431319058,0.03016237940097745,0.029841314237300135,0.0003210651636773136,0.019532398258513963
BKR,SLB,2296,0.7601530608903511,0.025216969272738986,0.02678547129820195,0.0015685020254629645,0.018068443882706075
EQNR,BP,2078,0.7593168298530502,0.02308650389249311,0.021192583756506376,0.0018939201359867326,0.015462907654247982
SU,CVE,4215,0.75900085014963,0.0221668291610326,0.02927519107143669,0.0071083619104040895,0.019060847262498733
HAL,SLB,11250,0.7576976078864494,0.027021331180498372,0.022837641171496014,0.004183690009002358,0.01779198004226632
E,EQNR,2078,0.7554522947475435,0.019005815167682676,0.02308650389249311,0.004080688724810433,0.015207111537787954
DVN,CVE,4215,0.7518446433804766,0.028268692476701954,0.02927519107143669,0.0010064985947347352,0.020291514928817454
IMO,CNQ,6554,0.751652935951368,0.020566930983031976,0.026035705977223836,0.00546877499419186,0.01720100501634694
HAL,FANG,3483,0.7515324319996358,0.027182156755441552,0.03016237940097745,0.0029802226455358967,0.02040363137628124
COP,FANG,3483,0.7509199012156255,0.02231667656193323,0.03016237940097745,0.007845702839044219,0.019921813935017085
OXY,FANG,3483,0.7490168105504833,0.0281707561233494,0.03016237940097745,0.0019916232776280504,0.020748154296251466
BKR,HAL,2296,0.7454554062368948,0.025216969272738986,0.030489870932649876,0.00527290165991089,0.02047493329152419
EQT,EXE,1389,0.7447324421367069,0.027221495917502773,0.021747877395217764,0.00547361852228501,0.01822641678661779
EQNR,SHEL,2078,0.7444632948325338,0.02308650389249311,0.020773225120663458,0.0023132787718296507,0.015825688887410427
EQNR,COP,2078,0.743106659486571,0.02308650389249311,0.025007753387264537,0.0019212494947714286,0.017329790016223732
IMO,CVE,4215,0.7352301082317781,0.020369727325739224,0.02927519107143669,0.008905463745697464,0.019876783046368526
EQNR,XOM,2078,0.7344549210490258,0.02308650389249311,0.019108025237468344,0.003978478655024764,0.015814932071333967
COP,CNQ,6554,0.7312522769522025,0.020954057214806095,0.026035705977223836,0.005081648762417741,0.017862132258157627
OXY,CVE,4215,0.7305117543843797,0.026918938356846615,0.02927519107143669,0.0023562527145900743,0.020743581127949575
FANG,CVE,3483,0.7244775557133353,0.03016237940097745,0.030528204655558066,0.0003658252545806172,0.02252859904971008
COP,CVE,4215,0.7231710644688746,0.021211156337751152,0.02927519107143669,0.008064034733685537,0.020219505687430812
DVN,CNQ,6554,0.7202826343983503,0.02734294790822793,0.026035705977223836,0.001307241931004094,0.019999163079378848
EOG,CNQ,6554,0.7157912618983876,0.024541867332905042,0.026035705977223836,0.0014938386443187936,0.019116232284999517
FTI,SLB,6334,0.7153490200448546,0.027381102081088595,0.023905873543708513,0.0034752285373800818,0.01961440086407855
PBA,ENB,3993,0.7147949222829764,0.01921082965795887,0.015088023687913295,0.004122805970045575,0.013503069362681341
KMI,OKE,3904,0.7147322618191243,0.01801533455406325,0.02410834922780617,0.00609301467374292,0.01687956701814427
EOG,CVE,4215,0.7115542342971436,0.02348949736079821,0.02927519107143669,0.00578569371063848,0.020740761973916933
HAL,CVE,4215,0.7092216237490014,0.027031984406244082,0.02927519107143669,0.002243206665192607,0.02156980558289753
SU,IMO,8236,0.7091696602217363,0.02294919083409766,0.0196210320236165,0.003328158810481159,0.01652243238638204
EQNR,CNQ,2078,0.70789695190603,0.02308650389249311,0.027045940873440755,0.003959436980947646,0.01950521004575782
EOG,EQNR,2078,0.7066812214317948,0.02658540638921973,0.02308650389249311,0.00349890249672662,0.01929506112910082
EQNR,CVX,2078,0.7056667836579047,0.02308650389249311,0.01979983573112725,0.0032866681613658577,0.0167298207689404
SHEL,BP,9734,0.7046227241410841,0.018724119062222072,0.017536323746678736,0.0011877953155433364,0.013978069342687818
SU,EQNR,2078,0.7038239388724347,0.024882495409829855,0.02308650389249311,0.0017959915173367466,0.01853381125840691
E,SHEL,7733,0.701367324770546,0.0185149362565788,0.01869700772432987,0.00018207146775106944,0.014380223552798669
SLB,FANG,3483,0.6993673429478785,0.023359656152472687,0.03016237940097745,0.006802723248504762,0.02167759786261292
EOG,DVN,8669,0.6977519055979996,0.02435348026569625,0.026190818633795864,0.0018373383680996141,0.019721719025747198
XOM,CVX,11755,0.6977094396784849,0.015604514606363067,0.018261078138437425,0.0026565635320743575,0.01339163546957032
FANG,CNQ,3483,0.6952004341471766,0.03016237940097745,0.02474404386719833,0.005418335533779118,0.02200741038903349
COP,DVN,8669,0.6947127911604991,0.020054973824478788,0.026190818633795864,0.006135844809317077,0.01893030847788656
CVX,CNQ,6554,0.6934360730867075,0.01718507769690042,0.026035705977223836,0.008850628280323417,0.018779316741942175
EQNR,DVN,2078,0.6926771507880589,0.02308650389249311,0.03303089382820481,0.0099443899357117,0.023824356139162558
PBA,OKE,3993,0.6920964582038148,0.01921082965795887,0.02387175185478357,0.0046609221968247,0.017439350866626156
OXY,CNQ,6554,0.6910311174724021,0.025798432721085708,0.026035705977223836,0.00023727325613812772,0.020374321813658326
XOM,PSX,3611,0.6901958860625838,0.01612933975505191,0.021123561127816888,0.004994221372764979,0.01536386687132834
TRP,PBA,3993,0.6898006168012802,0.014815414242102004,0.01921082965795887,0.004395415415856866,0.013996261633406754
HAL,EQNR,2078,0.6866660392501962,0.031657901051745825,0.02308650389249311,0.008571397159252717,0.023053888899421584
CVX,PSX,3611,0.6865814471971442,0.01713522832855943,0.021123561127816888,0.0039883327992574595,0.01558187741348308
SLB,CVE,4215,0.6854998363954847,0.023002046312581948,0.02927519107143669,0.006273144758854741,0.02151544644504829
OXY,DVN,8669,0.6853361114187375,0.02393380842453656,0.026190818633795864,0.0022570102092593046,0.01998964025018135
FTI,BKR,2296,0.680752423251529,0.031151036162704343,0.025216969272738986,0.005934066889965357,0.02316836771509923
E,BP,7733,0.6789562753639035,0.0185149362565788,0.018486684957968985,2.825129860981393e-05,0.014824788623819684
KMI,TRGP,3904,0.6784630389083786,0.01801533455406325,0.030762019290716675,0.012746684736653423,0.02277853961487845
COP,PSX,3611,0.6764709130094085,0.02203585062743671,0.021123561127816888,0.0009122894996198214,0.017378782705206267
FTI,HAL,6334,0.6743192864489078,0.027381102081088595,0.028802801190927475,0.0014216991098388795,0.022709447525732288
CVX,FANG,3483,0.6735568177999072,0.01731239067213191,0.03016237940097745,0.01284998872884554,0.02249551739161082
TRGP,DVN,3950,0.6732938979020849,0.030633248028124498,0.028851116763397192,0.0017821312647273053,0.0240969693068248
EQNR,IMO,2078,0.6727443725827362,0.02308650389249311,0.024053190077219948,0.0009666861847268393,0.019088929866749243
CVX,CVE,4215,0.6727149162567979,0.016808551854911303,0.02927519107143669,0.012466639216525386,0.021852088473279307
SU,FANG,3483,0.6725974679310657,0.022002594813901256,0.03016237940097745,0.008159784587076193,0.02238624279429103
SLB,CNQ,6554,0.6724215631721133,0.02403337501824856,0.026035705977223836,0.0020023309589752743,0.020345956459566997
XOM,FANG,3483,0.6721615590600544,0.016322695486955426,0.03016237940097745,0.013839683914022023,0.022679222315819036
BKR,COP,2296,0.6703911189086585,0.025216969272738986,0.024182699785713812,0.0010342694870251745,0.02007660817447016
E,TS,5958,0.6689096170919627,0.018528591936454602,0.02520614781485461,0.006677555878400007,0.01881092680180163
KMI,WMB,3904,0.6688720016936973,0.01801533455406325,0.023476737536550423,0.005461402982487172,0.017604610818395327
BKR,CVX,2296,0.668437366707028,0.025216969272738986,0.01919007289101708,0.006026896381721908,0.01890026615256749
TRGP,CVE,3950,0.6680944037429277,0.030633248028124498,0.029713045668436674,0.0009202023596878231,0.02459781354707875
EQNR,CVE,2078,0.6675422205124896,0.02308650389249311,0.034761782959704696,0.011675279067211587,0.025882919464722917
BP,CNQ,6554,0.6652409230464505,0.01877425319298963,0.026035705977223836,0.007261452784234207,0.0194933269835196
SHEL,CNQ,6554,0.6648359639702217,0.01843197082534059,0.026035705977223836,0.007603735151883246,0.01948076247116101
FTI,COP,6334,0.6638406124598796,0.027381102081088595,0.02103558330530113,0.006345518775787463,0.020676219788888364
