,factor_distance,cosine_similarity
EOG,0.26948142869110514,0.6907557012230864
COP,0.27704071546266645,0.6571797544855829
HAL,0.4027763698616109,0.4756928934984764
CNQ,0.4065623369204025,0.3531510028937051
DVN,0.4098990919993985,0.4690455896826866
FANG,0.41487404385971444,0.5195072972301827
SU,0.4557391009487917,0.32187211361820584
CVE,0.468609073540053,0.28019939667083804
KMI,0.48130039798660346,0.38464243216595334
PSX,0.48194676607912074,0.5018080356959965
WMB,0.48689225861262453,0.3051385279996527
TRGP,0.49177344448617843,0.11527503972968817
OKE,0.5072431828434227,0.2810030765557377
MPC,0.5485058311456024,0.3211134596044921
SLB,0.566642936187691,0.38559461822907276
ENB,0.5684955491544049,0.17255014633367735
PBA,0.5804917592774818,-6.299513697913653e-05
VLO,0.6012335118213217,0.31545389778659083
IMO,0.6651114749458833,0.21537198861446064
OXY,0.7014701551748179,0.24538303518739493
E,0.7813342154555113,0.4076694742335832
EQT,0.7965273322013603,-0.020487126076157783
EXE,0.7966900937273814,-0.10949144549602574
BKR,0.8042387646023709,0.28384348172716317
TRP,0.8282735838839389,0.13319404828929926
EQNR,0.8471792087708785,0.22659565737808
TS,0.9450712799288364,-0.024248111168562833
FTI,0.9789649908488124,0.06669117964151976
LNG,0.9846803733383628,-0.11490856141787746
PBR,0.9977297360423215,0.10854075947792068
WDS,1.0107546374699043,-0.004707284996102442
TPL,1.0203196408089683,-0.0035568246487671486
CCJ,1.0643020124759885,-0.19409329962363078
