date,ticker_1,ticker_2,window,rolling_correlation
2007-07-16,TTE,SHEL,252,
2007-07-17,TTE,SHEL,252,
2007-07-18,TTE,SHEL,252,
2007-07-19,TTE,SHEL,252,
2007-07-20,TTE,SHEL,252,
2007-07-23,TTE,SHEL,252,
2007-07-24,TTE,SHEL,252,
2007-07-25,TTE,SHEL,252,
2007-07-26,TTE,SHEL,252,
2007-07-27,TTE,SHEL,252,
2007-07-30,TTE,SHEL,252,
2007-07-31,TTE,SHEL,252,
2007-08-01,TTE,SHEL,252,
2007-08-02,TTE,SHEL,252,
2007-08-03,TTE,SHEL,252,
2007-08-06,TTE,SHEL,252,
2007-08-07,TTE,SHEL,252,
2007-08-08,TTE,SHEL,252,
2007-08-09,TTE,SHEL,252,
2007-08-10,TTE,SHEL,252,
2007-08-13,TTE,SHEL,252,
2007-08-14,TTE,SHEL,252,
2007-08-15,TTE,SHEL,252,
2007-08-16,TTE,SHEL,252,
2007-08-17,TTE,SHEL,252,
2007-08-20,TTE,SHEL,252,
2007-08-21,TTE,SHEL,252,
2007-08-22,TTE,SHEL,252,
2007-08-23,TTE,SHEL,252,
2007-08-24,TTE,SHEL,252,
2007-08-27,TTE,SHEL,252,
2007-08-28,TTE,SHEL,252,
2007-08-29,TTE,SHEL,252,
2007-08-30,TTE,SHEL,252,
2007-08-31,TTE,SHEL,252,
2007-09-04,TTE,SHEL,252,
2007-09-05,TTE,SHEL,252,
2007-09-06,TTE,SHEL,252,
2007-09-07,TTE,SHEL,252,
2007-09-10,TTE,SHEL,252,
2007-09-11,TTE,SHEL,252,
2007-09-12,TTE,SHEL,252,
2007-09-13,TTE,SHEL,252,
2007-09-14,TTE,SHEL,252,
2007-09-17,TTE,SHEL,252,
2007-09-18,TTE,SHEL,252,
2007-09-19,TTE,SHEL,252,
2007-09-20,TTE,SHEL,252,
2007-09-21,TTE,SHEL,252,
2007-09-24,TTE,SHEL,252,
2007-09-25,TTE,SHEL,252,
2007-09-26,TTE,SHEL,252,
2007-09-27,TTE,SHEL,252,
2007-09-28,TTE,SHEL,252,
2007-10-01,TTE,SHEL,252,
2007-10-02,TTE,SHEL,252,
2007-10-03,TTE,SHEL,252,
2007-10-04,TTE,SHEL,252,
2007-10-05,TTE,SHEL,252,
2007-10-08,TTE,SHEL,252,
2007-10-09,TTE,SHEL,252,
2007-10-10,TTE,SHEL,252,
2007-10-11,TTE,SHEL,252,
2007-10-12,TTE,SHEL,252,
2007-10-15,TTE,SHEL,252,
