ticker,significant_dates,broad_episode_dates,pct_significant_during_broad,isolated_episode_dates,pct_significant_during_isolated
EQNR,255,252,0.9882352941176471,1,0.00392156862745098
WDS,497,253,0.5090543259557344,77,0.15492957746478872
FANG,22,10,0.45454545454545453,5,0.22727272727272727
KMI,754,291,0.3859416445623342,130,0.1724137931034483
E,649,177,0.2727272727272727,61,0.09399075500770417
PBR,1056,263,0.2490530303030303,189,0.17897727272727273
BKR,82,20,0.24390243902439024,0,0.0
CVX,1478,306,0.2070365358592693,295,0.19959404600811909
COP,1486,284,0.1911170928667564,225,0.15141318977119786
FTI,735,123,0.1673469387755102,167,0.2272108843537415
ENB,1843,290,0.15735214324470972,176,0.09549647314161692
LNG,1909,252,0.1320062860136197,358,0.18753273965426925
TRP,1932,252,0.13043478260869565,115,0.05952380952380952
MPC,322,42,0.13043478260869565,97,0.30124223602484473
SU,68,8,0.11764705882352941,0,0.0
IMO,2308,256,0.11091854419410745,293,0.12694974003466206
SHEL,524,54,0.10305343511450382,20,0.03816793893129771
PSX,447,46,0.1029082774049217,5,0.011185682326621925
TPL,3302,282,0.08540278619018776,416,0.12598425196850394
TRGP,572,44,0.07692307692307693,201,0.3513986013986014
WMB,1723,130,0.07544979686593152,134,0.07777132907719095
XOM,2291,167,0.07289393278044522,306,0.13356612832824094
CVE,188,7,0.03723404255319149,45,0.2393617021276596
BP,1714,47,0.027421236872812137,390,0.22753792298716452
TTE,1177,32,0.027187765505522515,630,0.5352591333899746
CCJ,895,24,0.026815642458100558,38,0.042458100558659215
DVN,1169,31,0.026518391787852865,5,0.00427715996578272
OKE,1789,42,0.023476802683063163,121,0.06763555058692007
PBA,328,7,0.021341463414634148,128,0.3902439024390244
TS,615,11,0.01788617886178862,213,0.3463414634146341
SLB,932,13,0.013948497854077254,91,0.09763948497854077
CNQ,527,4,0.007590132827324478,117,0.222011385199241
OXY,1214,9,0.007413509060955519,124,0.10214168039538715
EOG,1170,8,0.006837606837606838,52,0.044444444444444446
HAL,1276,6,0.004702194357366771,225,0.17633228840125392
VLO,1040,3,0.0028846153846153848,265,0.2548076923076923
EQT,1187,1,0.0008424599831508003,135,0.11373209772535804
EXE,109,0,0.0,54,0.4954128440366973
