,lasso_score,correlation,combined_score
COP,0.0042925050788717774,0.8454601013655492,2.0
HAL,0.0017047925419664462,0.7942139264958036,1.878787878787879
EOG,0.0014751288456102477,0.8119761736807338,1.878787878787879
SU,0.001758385760775867,0.7876551443348261,1.878787878787879
OXY,0.001351086762864683,0.7554556905570613,1.606060606060606
SLB,0.0010599223076389326,0.7630732117399942,1.5454545454545454
IMO,0.0010939982613510774,0.7471300582949101,1.5151515151515151
VLO,0.0011664325442785149,0.7109014637593445,1.4848484848484849
PSX,0.000772912932599366,0.7304871243871323,1.393939393939394
EQNR,0.001014584996670848,0.6736411714146234,1.2424242424242424
OKE,7.504729993454428e-05,0.6877781197140744,1.2121212121212122
DVN,0.0,0.7825970169363032,1.196969696969697
FANG,0.0,0.7801086987184193,1.1666666666666667
CVE,0.0,0.7696045495918558,1.1363636363636365
E,0.00014473851521267905,0.6642254574486045,1.121212121212121
CNQ,0.0,0.7668668457197176,1.106060606060606
KMI,0.0004940438492164636,0.636794628118131,1.0606060606060606
MPC,0.0,0.7086603773879993,0.9242424242424243
BKR,0.0,0.6825004497442705,0.8636363636363635
TRGP,0.0,0.6796920102074282,0.8333333333333333
TS,0.0,0.6553759766593763,0.7424242424242424
FTI,0.0,0.6436381256378995,0.7121212121212122
PBA,0.0,0.6215963534415301,0.6515151515151515
WMB,0.0,0.5963767696523864,0.6212121212121212
WDS,0.0,0.5681898776893076,0.5909090909090908
LNG,0.0,0.5426421224142863,0.5606060606060606
TPL,0.0,0.5315089077116896,0.5303030303030303
EXE,0.0,0.5279294634539639,0.5
ENB,0.0,0.5237339655641632,0.4696969696969697
EQT,0.0,0.46680375020229575,0.4393939393939394
TRP,0.0,0.45143237597305474,0.40909090909090906
PBR,0.0,0.42826263320903923,0.3787878787878788
CCJ,0.0,0.3365208195473964,0.3484848484848485
