,lasso_score,abs_correlation,lasso_rank,correlation_rank,combined_rank
COP,0.005314881687425287,0.8562635134814095,1.0,1.0,2.0
HAL,0.0023883577862703845,0.8096861004714794,2.0,3.0,5.0
SU,0.0014842514064205494,0.7923752924995427,3.0,4.0,7.0
EOG,0.0006447053324492354,0.8135852917139931,9.0,2.0,11.0
IMO,0.0010256417591363982,0.7563972694596647,6.0,10.0,16.0
OXY,0.0010079346292483531,0.7422921158692507,7.0,11.0,18.0
VLO,0.0011465791123715697,0.7240604453950553,4.0,15.0,19.0
CVE,0.0002586034429664858,0.7796830656877478,13.0,6.0,19.0
PSX,0.0009775247157542072,0.7417140588814584,8.0,12.0,20.0
SLB,0.0005232760491781073,0.7639803645574115,11.0,9.0,20.0
KMI,0.0011035072881081685,0.7176733591345159,5.0,16.0,21.0
DVN,0.0,0.7817983250234817,24.5,5.0,29.5
BKR,0.0003778861508527683,0.7002057213881616,12.0,18.0,30.0
OKE,0.0002458139274023011,0.7131803500819921,14.0,17.0,31.0
EQNR,0.0005930839020845383,0.6760504821337542,10.0,21.0,31.0
CNQ,0.0,0.7776900144879623,24.5,7.0,31.5
FANG,0.0,0.777220092939728,24.5,8.0,32.5
TS,5.4446816472629225e-05,0.6768740019858248,15.0,20.0,35.0
TRGP,0.0,0.7255444628920873,24.5,13.0,37.5
MPC,0.0,0.7247968713573553,24.5,14.0,38.5
WMB,0.0,0.6881153035378765,24.5,19.0,43.5
E,0.0,0.6665830527535856,24.5,22.0,46.5
PBA,0.0,0.6536758379503083,24.5,23.0,47.5
FTI,0.0,0.6518633764258999,24.5,24.0,48.5
ENB,0.0,0.5753590496953987,24.5,25.0,49.5
EXE,0.0,0.5638103955597038,24.5,26.0,50.5
TPL,0.0,0.563686833365229,24.5,27.0,51.5
LNG,0.0,0.5595098972022498,24.5,28.0,52.5
WDS,0.0,0.5586280054312239,24.5,29.0,53.5
EQT,0.0,0.5034246439964744,24.5,30.0,54.5
TRP,0.0,0.49220028631902296,24.5,31.0,55.5
PBR,0.0,0.39965467163711726,24.5,32.0,56.5
CCJ,0.0,0.38435072827542865,24.5,33.0,57.5
