target,n_stocks,stocks,ticker,weight
XOM,2,COP|EOG,COP,0.5231691534417575
XOM,2,COP|EOG,EOG,0.4768308465582424
XOM,2,COP|DVN,COP,0.9440195903296005
XOM,2,COP|DVN,DVN,0.05598040967039955
XOM,2,COP|HAL,COP,0.689014500964682
XOM,2,COP|HAL,HAL,0.310985499035318
XOM,2,COP|CNQ,COP,0.7459213139549008
XOM,2,COP|CNQ,CNQ,0.25407868604509926
XOM,2,COP|FANG,COP,0.9999999999999999
XOM,2,COP|FANG,FANG,1.6653345369377348e-16
XOM,2,COP|CVE,COP,0.8165518133906189
XOM,2,COP|CVE,CVE,0.18344818660938114
XOM,2,COP|SU,COP,0.7664106653577872
XOM,2,COP|SU,SU,0.23358933464221276
XOM,2,COP|TRGP,COP,0.724084432738503
XOM,2,COP|TRGP,TRGP,0.2759155672614971
XOM,2,COP|PSX,COP,0.7474947430460915
XOM,2,COP|PSX,PSX,0.25250525695390846
XOM,2,COP|WMB,COP,0.7401944551474431
XOM,2,COP|WMB,WMB,0.2598055448525569
XOM,2,COP|KMI,COP,0.7379185751172102
XOM,2,COP|KMI,KMI,0.2620814248827898
XOM,2,COP|OKE,COP,0.7806761702642256
XOM,2,COP|OKE,OKE,0.21932382973577436
XOM,2,COP|MPC,COP,0.7794674154557173
XOM,2,COP|MPC,MPC,0.2205325845442827
XOM,2,COP|SLB,COP,0.8696748856199294
XOM,2,COP|SLB,SLB,0.13032511438007052
XOM,2,EOG|DVN,EOG,1.0
XOM,2,EOG|DVN,DVN,5.551115123125783e-17
XOM,2,EOG|HAL,EOG,0.7002012896417836
XOM,2,EOG|HAL,HAL,0.29979871035821637
XOM,2,EOG|CNQ,EOG,0.6986424422274331
XOM,2,EOG|CNQ,CNQ,0.30135755777256695
XOM,2,EOG|FANG,EOG,1.0
XOM,2,EOG|FANG,FANG,0.0
XOM,2,EOG|CVE,EOG,0.7280153809062555
XOM,2,EOG|CVE,CVE,0.2719846190937445
XOM,2,EOG|SU,EOG,0.7099863068636956
XOM,2,EOG|SU,SU,0.2900136931363045
XOM,2,EOG|TRGP,EOG,0.7383831411103222
XOM,2,EOG|TRGP,TRGP,0.2616168588896778
XOM,2,EOG|PSX,EOG,0.712099867546275
XOM,2,EOG|PSX,PSX,0.28790013245372503
XOM,2,EOG|WMB,EOG,0.7843994320478462
XOM,2,EOG|WMB,WMB,0.2156005679521537
XOM,2,EOG|KMI,EOG,0.7942932258532855
XOM,2,EOG|KMI,KMI,0.20570677414671443
XOM,2,EOG|OKE,EOG,0.8234018864967396
XOM,2,EOG|OKE,OKE,0.17659811350326035
XOM,2,EOG|MPC,EOG,0.7286280550844197
XOM,2,EOG|MPC,MPC,0.2713719449155802
XOM,2,EOG|SLB,EOG,0.8383851704753923
XOM,2,EOG|SLB,SLB,0.16161482952460768
XOM,2,DVN|HAL,DVN,0.509032063317946
XOM,2,DVN|HAL,HAL,0.490967936682054
XOM,2,DVN|CNQ,DVN,0.5147646431589834
XOM,2,DVN|CNQ,CNQ,0.48523535684101654
XOM,2,DVN|FANG,DVN,0.7014789447626592
XOM,2,DVN|FANG,FANG,0.29852105523734096
XOM,2,DVN|CVE,DVN,0.5516663561875207
XOM,2,DVN|CVE,CVE,0.44833364381247925
XOM,2,DVN|SU,DVN,0.550788235906888
XOM,2,DVN|SU,SU,0.44921176409311203
XOM,2,DVN|TRGP,DVN,0.5997656821857597
XOM,2,DVN|TRGP,TRGP,0.4002343178142403
XOM,2,DVN|PSX,DVN,0.596591500077681
XOM,2,DVN|PSX,PSX,0.403408499922319
XOM,2,DVN|WMB,DVN,0.6210765379984237
XOM,2,DVN|WMB,WMB,0.37892346200157634
XOM,2,DVN|KMI,DVN,0.629923766758371
XOM,2,DVN|KMI,KMI,0.37007623324162897
XOM,2,DVN|OKE,DVN,0.6550896779079861
XOM,2,DVN|OKE,OKE,0.34491032209201394
XOM,2,DVN|MPC,DVN,0.6388691348557842
XOM,2,DVN|MPC,MPC,0.3611308651442157
XOM,2,DVN|SLB,DVN,0.6775953838113223
XOM,2,DVN|SLB,SLB,0.32240461618867766
