component,explained_variance,cumulative_variance
PC1,0.6099585744301469,0.6099585744301469
PC2,0.04515161550883853,0.6551101899389854
PC3,0.03133456050230302,0.6864447504412884
PC4,0.02732693954694577,0.7137716899882341
PC5,0.0239145985701413,0.7376862885583755
PC6,0.02311708306253707,0.7608033716209126
PC7,0.02206633192714263,0.7828697035480552
PC8,0.020038629867958933,0.8029083334160141
PC9,0.01845381899865071,0.8213621524146648
PC10,0.016686053858936675,0.8380482062736014
PC11,0.015064021347826306,0.8531122276214278
PC12,0.013941583269664227,0.867053810891092
PC13,0.011747822925603215,0.8788016338166952
PC14,0.010569516750815196,0.8893711505675104
PC15,0.009518394691353592,0.898889545258864
PC16,0.008755432026889845,0.9076449772857539
