,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
WDS,0.14398517360966312,0.04905372069494587,-0.23597212897418335,0.1643586308600143,-0.1290986526031874,-0.04900036054488375,0.34222461719988834,0.18567640495903792,0.6008475596824393,0.23555283051366582,-0.2942997231840211,0.23378301340703056,-0.30663920663507405,0.10414967566358792,-0.1306429012910276,0.05272786965329827
FTI,0.16692736780353323,-0.1750604329759009,-0.03073271302860911,0.24540071991941673,0.20489011710075666,-0.12518312246099694,-0.2964743176817252,-0.017152968714907443,0.05236760158787573,0.060173267278176984,-0.08839724096397261,-0.06957029782631877,0.008192633304361957,0.5400942710261293,0.07658222027392052,-0.5894310003104706
EOG,0.19748851717185448,-0.10360840623017831,0.06432755885776861,-0.03746518963513827,-0.18628019360273484,-0.02237853383968516,-0.02615035669762488,0.03865488616170552,-0.13154437392491009,0.027407981896821792,0.04163267545279283,0.1302171827994924,0.02397774700121248,-0.02789683741103458,-0.08752357573721137,-0.014936328812701006
KMI,0.18563017244656055,0.24224720846563896,0.01002906132242663,-0.10930508514191016,0.0431835218803757,0.0485199971247931,-0.20494744805372977,0.05096860844490807,-0.05147567447978524,0.045951675820632865,0.1436180343074289,0.11839760698552249,-0.2278927712846457,-0.09565840615209598,0.10217910710456443,-0.0666368063273412
BKR,0.17443504455659736,-0.10204578967351384,-0.07173330365117138,0.12890224266830574,0.13435731256876335,-0.17467880281997364,-0.290847781549729,0.07365481114806574,0.1706671597617966,0.16436371659340784,-0.12910927487450485,0.028098776863146113,0.049173876323796994,-0.48756221515726844,0.39969171359265904,0.16952632871960174
TRGP,0.1926128644027851,0.12230182418908407,0.07077297202755077,-0.01843511662954984,0.042566804830161675,0.035342823599861475,-0.09943822033940397,0.16499742862430428,-0.06014892936168947,-0.04507369942450769,0.09657256343453634,-0.06738691012116725,-0.25627855297052815,0.07474325562035744,0.0791056734573825,0.11242561051877437
EQT,0.1401113313798304,0.21813633170339244,0.5092229910148145,0.12593304340421563,-0.04023706309051991,-0.06407081508116726,-0.054679551541599945,-0.40423569649843627,0.1376459768709971,-0.03968256529693409,-0.0830238994534381,0.09872271701505773,0.022642290108334292,0.032202291842547984,0.09703083799294239,-0.062283260238704743
HAL,0.19725094597187293,-0.13440765595744153,-0.03387805906494454,0.06690703158646484,0.007184073950676731,-0.16798475211950512,-0.22490959559644552,0.035833893755943286,0.04289405483957185,0.1115595790882434,-0.043083738855357746,-0.04232682303802832,0.0747558161097852,-0.155910704430427,-0.13295870059537077,0.019644458855102975
SU,0.19330716105220894,-0.08109102853403824,-0.08917725499865663,-0.05934247936828999,-0.16162899026567026,-0.05543199053870723,0.16991143082845062,-0.03928253938486612,-0.07786731480770137,-0.011330233713834615,-0.1059602703462383,-0.2715006941544084,-0.031150499296959268,-0.05231195794031423,0.07160437377866802,-0.08263885491043675
TRP,0.14146548715410254,0.4202785790779265,-0.24764772732666798,-0.1667438891971872,-0.026737925779086208,-0.038413768337715475,0.003960476386841052,-0.13110750969000312,-0.08579818457256175,0.16001001533380596,-0.24815419738091024,0.0878092451713182,0.520261888998899,0.02740049961686228,0.027676247851125036,-0.002246225896876314
E,0.16883070727091648,-0.02035414520392794,-0.2603762188392603,0.1171318449818674,-0.04046698986858978,-0.11223034014959245,0.1374171648298893,-0.2003854344722735,0.007107658366888764,-0.2777932444100992,0.4018295975173155,0.22274977627057152,-0.06875130427292227,-0.255680290222744,-0.33617149340567654,-0.25494080243382566
PBA,0.1800376079188006,0.25818453532352514,-0.20550782105908424,-0.03721019574496671,0.011541928857019646,-0.013179605374927019,0.042041556633359324,-0.04963421621263806,0.03516955960764939,0.005526668999453479,0.1287896269732087,-0.19450751679253075,-0.05929263924055403,0.2309866900680835,-0.0024054620048898937,0.12957667754362245
