target,n_stocks,stocks,ticker,weight
XOM,2,COP|HAL,COP,0.7651459325153877
XOM,2,COP|HAL,HAL,0.23485406748461235
XOM,2,COP|SU,COP,0.6976350165400221
XOM,2,COP|SU,SU,0.30236498345997787
XOM,2,COP|EOG,COP,0.7551069052912178
XOM,2,COP|EOG,EOG,0.2448930947087823
XOM,2,COP|IMO,COP,0.6876462304389557
XOM,2,COP|IMO,IMO,0.3123537695610443
XOM,2,COP|OXY,COP,0.8698911171050605
XOM,2,COP|OXY,OXY,0.1301088828949395
XOM,2,COP|VLO,COP,0.7421556993901646
XOM,2,COP|VLO,VLO,0.25784430060983543
XOM,2,COP|CVE,COP,0.8363942056393723
XOM,2,COP|CVE,CVE,0.16360579436062772
XOM,2,COP|PSX,COP,0.6669764409296344
XOM,2,COP|PSX,PSX,0.33302355907036557
XOM,2,COP|SLB,COP,0.7633041772621618
XOM,2,COP|SLB,SLB,0.23669582273783824
XOM,2,COP|KMI,COP,0.5731557754066314
XOM,2,COP|KMI,KMI,0.4268442245933686
XOM,2,COP|DVN,COP,0.9098604881649711
XOM,2,COP|DVN,DVN,0.09013951183502894
XOM,2,COP|BKR,COP,0.7195464684249507
XOM,2,COP|BKR,BKR,0.28045353157504926
XOM,2,COP|OKE,COP,0.6270529748482675
XOM,2,COP|OKE,OKE,0.37294702515173256
XOM,2,COP|EQNR,COP,0.7321427034557917
XOM,2,COP|EQNR,EQNR,0.2678572965442083
XOM,2,HAL|SU,HAL,0.410445801886578
XOM,2,HAL|SU,SU,0.5895541981134219
XOM,2,HAL|EOG,HAL,0.37736902931897276
XOM,2,HAL|EOG,EOG,0.6226309706810272
XOM,2,HAL|IMO,HAL,0.43673805012580336
XOM,2,HAL|IMO,IMO,0.5632619498741966
XOM,2,HAL|OXY,HAL,0.6174688479621415
XOM,2,HAL|OXY,OXY,0.3825311520378585
XOM,2,HAL|VLO,HAL,0.5183153238652106
XOM,2,HAL|VLO,VLO,0.4816846761347894
XOM,2,HAL|CVE,HAL,0.5624304648268824
XOM,2,HAL|CVE,CVE,0.4375695351731176
XOM,2,HAL|PSX,HAL,0.43668583883663803
XOM,2,HAL|PSX,PSX,0.563314161163362
XOM,2,HAL|SLB,HAL,0.5360289379846741
XOM,2,HAL|SLB,SLB,0.46397106201532595
XOM,2,HAL|KMI,HAL,0.3757839529315305
XOM,2,HAL|KMI,KMI,0.6242160470684694
XOM,2,HAL|DVN,HAL,0.6117393214973186
XOM,2,HAL|DVN,DVN,0.3882606785026814
XOM,2,HAL|BKR,HAL,0.5272751050117753
XOM,2,HAL|BKR,BKR,0.4727248949882247
XOM,2,HAL|OKE,HAL,0.4029366928669825
XOM,2,HAL|OKE,OKE,0.5970633071330175
XOM,2,HAL|EQNR,HAL,0.5093995855814148
XOM,2,HAL|EQNR,EQNR,0.4906004144185852
XOM,2,SU|EOG,SU,0.4851501885202638
XOM,2,SU|EOG,EOG,0.5148498114797362
XOM,2,SU|IMO,SU,0.5254732331805422
XOM,2,SU|IMO,IMO,0.4745267668194579
XOM,2,SU|OXY,SU,0.6888098833080755
XOM,2,SU|OXY,OXY,0.3111901166919246
XOM,2,SU|VLO,SU,0.5972297623683449
XOM,2,SU|VLO,VLO,0.4027702376316551
XOM,2,SU|CVE,SU,0.7114693957562247
XOM,2,SU|CVE,CVE,0.2885306042437753
XOM,2,SU|PSX,SU,0.5150754789967797
XOM,2,SU|PSX,PSX,0.4849245210032203
XOM,2,SU|SLB,SU,0.602707964362409
XOM,2,SU|SLB,SLB,0.397292035637591
XOM,2,SU|KMI,SU,0.4367622992975432
XOM,2,SU|KMI,KMI,0.5632377007024568
XOM,2,SU|DVN,SU,0.6907727582797845
XOM,2,SU|DVN,DVN,0.30922724172021554
XOM,2,SU|BKR,SU,0.5943487417068689
XOM,2,SU|BKR,BKR,0.4056512582931311
XOM,2,SU|OKE,SU,0.4797342753027906
XOM,2,SU|OKE,OKE,0.5202657246972094
XOM,2,SU|EQNR,SU,0.5877402777659592
XOM,2,SU|EQNR,EQNR,0.41225972223404084
XOM,2,EOG|IMO,EOG,0.5329434103287563
XOM,2,EOG|IMO,IMO,0.4670565896712438
XOM,2,EOG|OXY,EOG,0.7608867601825493
XOM,2,EOG|OXY,OXY,0.23911323981745064
XOM,2,EOG|VLO,EOG,0.605513690344397
XOM,2,EOG|VLO,VLO,0.39448630965560305
XOM,2,EOG|CVE,EOG,0.6768023262764897
XOM,2,EOG|CVE,CVE,0.32319767372351027
XOM,2,EOG|PSX,EOG,0.5268910389021291
XOM,2,EOG|PSX,PSX,0.47310896109787093
XOM,2,EOG|SLB,EOG,0.623641082582786
XOM,2,EOG|SLB,SLB,0.376358917417214
XOM,2,EOG|KMI,EOG,0.4452830477822389
XOM,2,EOG|KMI,KMI,0.5547169522177611
XOM,2,EOG|DVN,EOG,0.7510796519457543
XOM,2,EOG|DVN,DVN,0.24892034805424565
XOM,2,EOG|BKR,EOG,0.6094172384513619
XOM,2,EOG|BKR,BKR,0.39058276154863814
XOM,2,EOG|OKE,EOG,0.4914156525173468
XOM,2,EOG|OKE,OKE,0.5085843474826531
XOM,2,EOG|EQNR,EOG,0.6054423790529995
XOM,2,EOG|EQNR,EQNR,0.3945576209470005
XOM,2,IMO|OXY,IMO,0.6615210076683778
XOM,2,IMO|OXY,OXY,0.33847899233162215
XOM,2,IMO|VLO,IMO,0.5829830662539882
XOM,2,IMO|VLO,VLO,0.41701693374601173
XOM,2,IMO|CVE,IMO,0.6580358258358996
XOM,2,IMO|CVE,CVE,0.3419641741641004
XOM,2,IMO|PSX,IMO,0.4976429298471192
XOM,2,IMO|PSX,PSX,0.5023570701528808
XOM,2,IMO|SLB,IMO,0.574162677327896
XOM,2,IMO|SLB,SLB,0.425837322672104
XOM,2,IMO|KMI,IMO,0.4151716397836744
XOM,2,IMO|KMI,KMI,0.5848283602163256
XOM,2,IMO|DVN,IMO,0.6512347393600475
XOM,2,IMO|DVN,DVN,0.3487652606399525
XOM,2,IMO|BKR,IMO,0.580300921398064
XOM,2,IMO|BKR,BKR,0.419699078601936
XOM,2,IMO|OKE,IMO,0.461511961303481
XOM,2,IMO|OKE,OKE,0.538488038696519
XOM,2,IMO|EQNR,IMO,0.5774828862857492
XOM,2,IMO|EQNR,EQNR,0.4225171137142508
XOM,2,OXY|VLO,OXY,0.41592994988766535
XOM,2,OXY|VLO,VLO,0.5840700501123346
XOM,2,OXY|CVE,OXY,0.4272022835907893
XOM,2,OXY|CVE,CVE,0.5727977164092106
XOM,2,OXY|PSX,OXY,0.343683834505053
XOM,2,OXY|PSX,PSX,0.656316165494947
XOM,2,OXY|SLB,OXY,0.40937894685313203
XOM,2,OXY|SLB,SLB,0.5906210531468679
XOM,2,OXY|KMI,OXY,0.2927752704007402
XOM,2,OXY|KMI,KMI,0.7072247295992599
XOM,2,OXY|DVN,OXY,0.4549033336302093
XOM,2,OXY|DVN,DVN,0.5450966663697908
XOM,2,OXY|BKR,OXY,0.413001533848968
XOM,2,OXY|BKR,BKR,0.586998466151032
XOM,2,OXY|OKE,OXY,0.3105817649324436
XOM,2,OXY|OKE,OKE,0.6894182350675564
XOM,2,OXY|EQNR,OXY,0.4045736321740118
XOM,2,OXY|EQNR,EQNR,0.5954263678259881
XOM,2,VLO|CVE,VLO,0.5283207927868693
XOM,2,VLO|CVE,CVE,0.4716792072131308
XOM,2,VLO|PSX,VLO,0.3148192016127098
XOM,2,VLO|PSX,PSX,0.6851807983872902
XOM,2,VLO|SLB,VLO,0.496488392132264
XOM,2,VLO|SLB,SLB,0.503511607867736
XOM,2,VLO|KMI,VLO,0.35073037653910716
XOM,2,VLO|KMI,KMI,0.6492696234608928
XOM,2,VLO|DVN,VLO,0.5616216803211622
XOM,2,VLO|DVN,DVN,0.43837831967883784
XOM,2,VLO|BKR,VLO,0.4990687032140044
XOM,2,VLO|BKR,BKR,0.5009312967859956
XOM,2,VLO|OKE,VLO,0.38930482090757684
XOM,2,VLO|OKE,OKE,0.6106951790924231
XOM,2,VLO|EQNR,VLO,0.4916117992220807
XOM,2,VLO|EQNR,EQNR,0.5083882007779194
XOM,2,CVE|PSX,CVE,0.3897286210382922
XOM,2,CVE|PSX,PSX,0.6102713789617078
XOM,2,CVE|SLB,CVE,0.46202413834988704
XOM,2,CVE|SLB,SLB,0.537975861650113
XOM,2,CVE|KMI,CVE,0.34859223793232935
XOM,2,CVE|KMI,KMI,0.6514077620676707
XOM,2,CVE|DVN,CVE,0.551469735297677
XOM,2,CVE|DVN,DVN,0.44853026470232304
XOM,2,CVE|BKR,CVE,0.47140725378781506
XOM,2,CVE|BKR,BKR,0.528592746212185
XOM,2,CVE|OKE,CVE,0.36861826160816935
XOM,2,CVE|OKE,OKE,0.6313817383918306
XOM,2,CVE|EQNR,CVE,0.4637331912223056
XOM,2,CVE|EQNR,EQNR,0.5362668087776944
XOM,2,PSX|SLB,PSX,0.5837181427934923
XOM,2,PSX|SLB,SLB,0.41628185720650773
XOM,2,PSX|KMI,PSX,0.41028812495015377
XOM,2,PSX|KMI,KMI,0.5897118750498462
XOM,2,PSX|DVN,PSX,0.6415244369330505
XOM,2,PSX|DVN,DVN,0.35847556306694955
XOM,2,PSX|BKR,PSX,0.5824181457840918
XOM,2,PSX|BKR,BKR,0.4175818542159082
XOM,2,PSX|OKE,PSX,0.46212431912620844
XOM,2,PSX|OKE,OKE,0.5378756808737916
XOM,2,PSX|EQNR,PSX,0.57211104631867
XOM,2,PSX|EQNR,EQNR,0.4278889536813299
XOM,2,SLB|KMI,SLB,0.3587770595308252
XOM,2,SLB|KMI,KMI,0.6412229404691747
XOM,2,SLB|DVN,SLB,0.5744693967851022
XOM,2,SLB|DVN,DVN,0.42553060321489783
XOM,2,SLB|BKR,SLB,0.5034412027102193
XOM,2,SLB|BKR,BKR,0.4965587972897807
XOM,2,SLB|OKE,SLB,0.39089019309031303
XOM,2,SLB|OKE,OKE,0.609109806909687
XOM,2,SLB|EQNR,SLB,0.49470099821934627
XOM,2,SLB|EQNR,EQNR,0.5052990017806537
XOM,2,KMI|DVN,KMI,0.686256563460578
XOM,2,KMI|DVN,DVN,0.31374343653942205
XOM,2,KMI|BKR,KMI,0.6743984436860557
XOM,2,KMI|BKR,BKR,0.3256015563139444
XOM,2,KMI|OKE,KMI,0.6126546480550102
XOM,2,KMI|OKE,OKE,0.38734535194498976
XOM,2,KMI|EQNR,KMI,0.6614500079993447
XOM,2,KMI|EQNR,EQNR,0.3385499920006553
XOM,2,DVN|BKR,DVN,0.43775786458998883
