basket_type,n_stocks,stocks,ticker,weight
Thomas-style,3,CNQ|COP|MPC,CNQ,0.2646314587323198
Thomas-style,3,CNQ|COP|MPC,COP,0.4835988582592687
Thomas-style,3,CNQ|COP|MPC,MPC,0.2517696830084115
Thomas-style,3,COP|CVE|MPC,COP,0.594158870965323
Thomas-style,3,COP|CVE|MPC,CVE,0.11880849872026808
Thomas-style,3,COP|CVE|MPC,MPC,0.287032630314409
Thomas-style,3,COP|MPC|SU,COP,0.4849989233039036
Thomas-style,3,COP|MPC|SU,MPC,0.2439787108302687
Thomas-style,3,COP|MPC|SU,SU,0.2710223658658277
Thomas-style,3,COP|IMO|MPC,COP,0.5146828562366095
Thomas-style,3,COP|IMO|MPC,IMO,0.25584037813408156
Thomas-style,3,COP|IMO|MPC,MPC,0.22947676562930897
Thomas-style,3,COP|ENB|MPC,COP,0.5255850544149406
Thomas-style,3,COP|ENB|MPC,ENB,0.2972496232208339
Thomas-style,3,COP|ENB|MPC,MPC,0.17716532236422547
Thomas-style,3,COP|MPC|TRP,COP,0.5520743505393793
Thomas-style,3,COP|MPC|TRP,MPC,0.1987510413447459
Thomas-style,3,COP|MPC|TRP,TRP,0.2491746081158748
Thomas-style,3,COP|MPC|PBA,COP,0.5032389581281085
Thomas-style,3,COP|MPC|PBA,MPC,0.18316574501637217
Thomas-style,3,COP|MPC|PBA,PBA,0.3135952968555194
Thomas-style,3,COP|MPC|WMB,COP,0.5240912033052469
Thomas-style,3,COP|MPC|WMB,MPC,0.1890445041222059
Thomas-style,3,COP|MPC|WMB,WMB,0.2868642925725472
Thomas-style,3,CNQ|COP|PSX,CNQ,0.259373164243103
Thomas-style,3,CNQ|COP|PSX,COP,0.477193517553102
Thomas-style,3,CNQ|COP|PSX,PSX,0.2634333182037949
Thomas-style,3,COP|CVE|PSX,COP,0.5872319587094899
Thomas-style,3,COP|CVE|PSX,CVE,0.11383484359349634
Thomas-style,3,COP|CVE|PSX,PSX,0.29893319769701393
Thomas-style,3,COP|PSX|SU,COP,0.47623934129681494
Thomas-style,3,COP|PSX|SU,PSX,0.2568304912023434
Thomas-style,3,COP|PSX|SU,SU,0.26693016750084164
Thomas-style,3,COP|IMO|PSX,COP,0.49383515889550794
Thomas-style,3,COP|IMO|PSX,IMO,0.2576221040470333
Thomas-style,3,COP|IMO|PSX,PSX,0.24854273705745875
Thomas-style,3,COP|ENB|PSX,COP,0.5062102676313592
Thomas-style,3,COP|ENB|PSX,ENB,0.2946103768820855
Thomas-style,3,COP|ENB|PSX,PSX,0.19917935548655505
Thomas-style,3,COP|PSX|TRP,COP,0.5327017439880779
Thomas-style,3,COP|PSX|TRP,PSX,0.2192473744184711
Thomas-style,3,COP|PSX|TRP,TRP,0.24805088159345096
Thomas-style,3,COP|PBA|PSX,COP,0.47939812795910075
