basket_type,n_stocks,stocks,test_correlation,test_r_squared,test_tracking_error,test_rmse,annualized_xom_volatility,annualized_basket_volatility,volatility_reduction,xom_final_wealth,basket_final_wealth,xom_max_drawdown,basket_max_drawdown
Thomas-style,3,COP|ENB|PSX,0.8036310026062071,0.6432377267243012,0.00936555583928151,0.0093488590530672,0.24891549641880834,0.21266147237541777,0.14564791893226292,151.76733944897228,149.4565138447566,-0.20133304516380612,-0.13474249120252857
Thomas-style,3,COP|PSX|TRP,0.8021103421343561,0.6360851906853082,0.009458439080625642,0.009442109130142196,0.24891549641880834,0.22084051755925785,0.11278919658868258,151.76733944897228,156.6855960357149,-0.20133304516380612,-0.128058590441947
Thomas-style,3,COP|ENB|MPC,0.7992747660120387,0.6353110775286817,0.009469083190831415,0.00945214633914414,0.24891549641880834,0.21372128485065586,0.14139019898117178,151.76733944897228,149.86229073805725,-0.20133304516380612,-0.11868111688187966
Thomas-style,3,COP|PBA|PSX,0.8012265460340539,0.6329519741247476,0.009499136780647026,0.009482669127281648,0.24891549641880834,0.22300336264936738,0.10410012290212323,151.76733944897228,156.45936724879544,-0.20133304516380612,-0.1234892584639018
Thomas-style,3,COP|ENB|VLO,0.7968209964570545,0.6322340030019425,0.00950902173421817,0.00949193897210585,0.24891549641880834,0.21124387429647787,0.15134301666356176,151.76733944897228,152.86196244102717,-0.20133304516380612,-0.11486980252583467
Thomas-style,3,COP|PSX|SU,0.8154841643763118,0.6252550152823559,0.00958958131395245,0.009581578578880532,0.24891549641880834,0.25216582327704834,-0.01305795302021373,151.76733944897228,170.61835818106135,-0.20133304516380612,-0.1801540643960211
Thomas-style,3,COP|MPC|TRP,0.7969742471456853,0.6258679233696823,0.009590090669907384,0.009573739874660906,0.24891549641880834,0.22229154036084983,0.10695981745211569,151.76733944897228,157.44979524924472,-0.20133304516380612,-0.11329103439896993
Thomas-style,3,COP|TRP|VLO,0.7941384424322442,0.6223902737240384,0.009633255192324249,0.009618132087228492,0.24891549641880834,0.22006388349574893,0.11590926775613697,151.76733944897228,160.7378675490156,-0.20133304516380612,-0.10586597130979258
Thomas-style,3,COP|PBA|VLO,0.795452207929586,0.6224120049494124,0.009633370054964606,0.009617855324225896,0.24891549641880834,0.22312576468916664,0.1036083815619484,151.76733944897228,159.88631913385478,-0.20133304516380612,-0.11091493400655172
Thomas-style,3,COP|MPC|PBA,0.7957223335935362,0.6214101541000696,0.009647238017832169,0.00963060635652383,0.24891549641880834,0.22499894629579847,0.09608300996563712,151.76733944897228,156.87166099002826,-0.20133304516380612,-0.11767847693249911
Thomas-style,3,COP|IMO|PSX,0.8115382854250611,0.6167794842653107,0.009699824878892968,0.009689325070903445,0.24891549641880834,0.2525682706069234,-0.014674756054436688,151.76733944897228,168.07981007904175,-0.20133304516380612,-0.16860288600235573
Thomas-style,3,COP|PSX|WMB,0.7883916281781279,0.6089617290105236,0.009805276467098946,0.009787657934524192,0.24891549641880834,0.22418027766995371,0.09937195194644222,151.76733944897228,152.8392921089368,-0.20133304516380612,-0.13206041185483508
Thomas-style,3,CNQ|COP|PSX,0.8143856620670749,0.6025331837884964,0.009877828308342473,0.009867782966363082,0.24891549641880834,0.26371925781054517,-0.05947304046843693,151.76733944897228,169.17872528910127,-0.20133304516380612,-0.18308393893700647
Thomas-style,3,COP|MPC|SU,0.8059483343648154,0.6020902402956461,0.00988040666229454,0.009873279844355659,0.24891549641880834,0.25434865262534956,-0.021827312018371847,151.76733944897228,172.40720890986785,-0.20133304516380612,-0.15736873268160745
Thomas-style,3,COP|SU|VLO,0.80620199197653,0.5984803688301126,0.009922086227774891,0.0099179643485086,0.24891549641880834,0.25654069118638584,-0.0306336683624866,151.76733944897228,175.4631631828179,-0.20133304516380612,-0.16448603096479875
Thomas-style,3,COP|IMO|VLO,0.8044050117807938,0.5947222345385557,0.009971939098102824,0.009964271213708582,0.24891549641880834,0.2567217807013162,-0.031361182388474296,151.76733944897228,172.11547954418438,-0.20133304516380612,-0.15344199007697656
Thomas-style,3,COP|IMO|MPC,0.8031856286820859,0.5948271372058631,0.009973215030262076,0.009962981547254753,0.24891549641880834,0.25539070401095787,-0.026013678076734825,151.76733944897228,169.24758771227218,-0.20133304516380612,-0.14800680476870354
Thomas-style,3,COP|MPC|WMB,0.7815942466320056,0.594080602957701,0.00999007679621459,0.00997215575999878,0.24891549641880834,0.2268177440880784,0.08877612140929048,151.76733944897228,153.26926764980558,-0.20133304516380612,-0.11580387717009599
Thomas-style,3,COP|VLO|WMB,0.7764348580991973,0.5868739192497732,0.010077854316380511,0.010060289014900834,0.24891549641880834,0.22468312652711514,0.09735179303951991,151.76733944897228,156.3807025281597,-0.20133304516380612,-0.11204753172597282
Thomas-style,3,COP|CVE|PSX,0.8121031031186478,0.5785264773114791,0.010167687681640924,0.010161417593667375,0.24891549641880834,0.27254339671918126,-0.09492338018448732,151.76733944897228,174.12726375551316,-0.20133304516380612,-0.16659937828575933
Thomas-style,3,EOG|PSX|TRP,0.7630154906763583,0.5776516315231376,0.01019022638064396,0.010171958072073033,0.24891549641880834,0.20668839545086995,0.1696443233766769,151.76733944897228,150.1179331270185,-0.20133304516380612,-0.11954769518119546
Thomas-style,3,CNQ|COP|MPC,0.8044997436634055,0.5763422636987475,0.010196948342221538,0.010187713463575318,0.24891549641880834,0.2661653879444174,-0.06930019132511367,151.76733944897228,171.08659901629267,-0.20133304516380612,-0.1594929019107736
Thomas-style,3,EOG|PSX|SU,0.7826320985246963,0.5757296117496078,0.01020848572580332,0.010195077034611482,0.24891549641880834,0.24227971069976462,0.026658789085106993,151.76733944897228,165.80658099248245,-0.20133304516380612,-0.13814962407190134
Thomas-style,3,ENB|EOG|PSX,0.7597410707418096,0.5750816494557708,0.010219049695550231,0.010202859224181248,0.24891549641880834,0.20007815310698374,0.19620049379992877,151.76733944897228,143.07567811560634,-0.20133304516380612,-0.11508538421182446
Thomas-style,3,CNQ|COP|VLO,0.8035203754438545,0.5687998727328647,0.010283544687368114,0.010277999474333355,0.24891549641880834,0.2685204997740031,-0.07876168272869899,151.76733944897228,175.1829181430782,-0.20133304516380612,-0.16698551796606353
Thomas-style,3,EOG|PBA|PSX,0.75932369221461,0.568579091939031,0.010299091274490767,0.010280630380900675,0.24891549641880834,0.2112526243434988,0.15130786398264462,151.76733944897228,150.07278052101327,-0.20133304516380612,-0.12295930204430261
Thomas-style,3,CNQ|EOG|PSX,0.7851825317090364,0.558512037144435,0.0104145343832726,0.010399886137713706,0.24891549641880834,0.25521054837733415,-0.02528991585133844,151.76733944897228,164.60060105344243,-0.20133304516380612,-0.14817995798326722
Thomas-style,3,EOG|IMO|PSX,0.7745509156941781,0.5584388357213844,0.010416401675268328,0.010400748284561424,0.24891549641880834,0.24333877319210018,0.022404082136072145,151.76733944897228,162.86404109275531,-0.20133304516380612,-0.12643615214116055
Thomas-style,3,COP|CVE|MPC,0.8031364230410266,0.5532040160055101,0.010466743246955316,0.010462218391261944,0.24891549641880834,0.2748371145737239,-0.10413822573465503,151.76733944897228,176.70056990336315,-0.20133304516380612,-0.13828804852830823
Thomas-style,3,ENB|EOG|VLO,0.7463332508875087,0.554184409658149,0.010469044237273833,0.010450733590843626,0.24891549641880834,0.19890576120515946,0.20091049345319134,151.76733944897228,147.36860169044553,-0.20133304516380612,-0.09835918913648489
Thomas-style,3,EOG|PSX|WMB,0.7505879786904553,0.553645467479269,0.010475357426178519,0.010457048578544476,0.24891549641880834,0.21133567984168644,0.15097419452701588,151.76733944897228,147.31434057216904,-0.20133304516380612,-0.11536748694192744
Thomas-style,3,EOG|TRP|VLO,0.7481716626413336,0.5534232730395112,0.010478202548651653,0.010459651004189207,0.24891549641880834,0.20600581237512838,0.17238655150454363,151.76733944897228,155.20955283472196,-0.20133304516380612,-0.10293130343154522
Thomas-style,3,EOG|PBA|VLO,0.7485167060741347,0.5500862428541807,0.010517426713972695,0.01049865797258015,0.24891549641880834,0.2114281754655256,0.15060260004949277,151.76733944897228,154.2676041142767,-0.20133304516380612,-0.10886183583022091
Thomas-style,3,ENB|EOG|MPC,0.7445709241837742,0.5482471338545741,0.010537654180397675,0.010520093730888512,0.24891549641880834,0.20464457821358903,0.17785521127512316,151.76733944897228,144.67363785686337,-0.20133304516380612,-0.10949503637986313
Thomas-style,3,ENB|OXY|PSX,0.7418688841183985,0.5471163776993182,0.010552039166198334,0.010533251617754903,0.24891549641880834,0.19882062478066656,0.20125252287971473,151.76733944897228,148.99977790914656,-0.20133304516380612,-0.12166013925098462
Thomas-style,3,OXY|PSX|TRP,0.7443838078282262,0.5467240062291936,0.010555481860345437,0.01053781355422808,0.24891549641880834,0.2065101343656277,0.17036047439100477,151.76733944897228,159.00755309755854,-0.20133304516380612,-0.12812398651582735
Thomas-style,3,EOG|MPC|TRP,0.7458392250894276,0.5450886460549255,0.010575843630350235,0.010556805961851275,0.24891549641880834,0.2119789029595071,0.14839009218274712,151.76733944897228,151.93747696431913,-0.20133304516380612,-0.11478601987481674
Thomas-style,3,COP|CVE|VLO,0.8037002813409474,0.5433405465590657,0.01057787352882855,0.01057706996741378,0.24891549641880834,0.2791678982873975,-0.12153683600995469,151.76733944897228,180.3595554189562,-0.20133304516380612,-0.14656563942080691
Thomas-style,3,DVN|ENB|PSX,0.7393079213202679,0.5437397934975862,0.010591476474518025,0.01057244531094054,0.24891549641880834,0.1972747814766229,0.20746283652544584,151.76733944897228,150.61713380331852,-0.20133304516380612,-0.11023268560996535
Thomas-style,3,DVN|PSX|TRP,0.7413596213431336,0.5424948291104472,0.010603391176375857,0.010586859620112443,0.24891549641880834,0.20520987396776355,0.17558417647693847,151.76733944897228,161.90728752375264,-0.20133304516380612,-0.11767999849002875
Thomas-style,3,EOG|MPC|PBA,0.7441146046521205,0.538302085877755,0.010654433533602336,0.010635259893260186,0.24891549641880834,0.21611518239033498,0.1317728887930938,151.76733944897228,151.28073955158354,-0.20133304516380612,-0.1184272864175342
Thomas-style,3,ENB|FANG|PSX,0.7338232331319081,0.5370551863644961,0.010668785741704358,0.010649611440606577,0.24891549641880834,0.19210111593672363,0.22824766356246728,151.76733944897228,150.67928831143084,-0.20133304516380612,-0.09788005648434328
Thomas-style,3,EOG|SU|VLO,0.766909546317828,0.535944710301858,0.010672593082512635,0.010662376520612254,0.24891549641880834,0.24734123618979914,0.006324476586063721,151.76733944897228,171.41460602740815,-0.20133304516380612,-0.13513958192311548
Thomas-style,3,FANG|PSX|TRP,0.7350865292485332,0.5352345899101114,0.010687282362772933,0.010670531450397217,0.24891549641880834,0.200400103431961,0.19490708165962733,151.76733944897228,161.80717979974048,-0.20133304516380612,-0.10543344553639222
Thomas-style,3,CNQ|ENB|PSX,0.7340967491072123,0.530202703230837,0.010744567519649558,0.010728139391715154,0.24891549641880834,0.205595995304668,0.17403296193843187,151.76733944897228,162.69179834526383,-0.20133304516380612,-0.12184358564918996
