basket_type,n_stocks,stocks,ticker,weight
unrestricted,2,COP|HAL,COP,0.7809466921775586
unrestricted,2,COP|HAL,HAL,0.21905330782244137
unrestricted,2,COP|EOG,COP,0.66364632154829
unrestricted,2,COP|EOG,EOG,0.33635367845171
unrestricted,2,COP|SU,COP,0.6461937711330668
unrestricted,2,COP|SU,SU,0.3538062288669332
unrestricted,2,COP|OXY,COP,0.8276277362047229
unrestricted,2,COP|OXY,OXY,0.17237226379527723
unrestricted,2,COP|SLB,COP,0.7419416056014094
unrestricted,2,COP|SLB,SLB,0.2580583943985906
unrestricted,2,COP|IMO,COP,0.6631063420917047
unrestricted,2,COP|IMO,IMO,0.33689365790829534
unrestricted,2,COP|VLO,COP,0.7418947880018455
unrestricted,2,COP|VLO,VLO,0.2581052119981545
unrestricted,2,COP|PSX,COP,0.6760706237066163
unrestricted,2,COP|PSX,PSX,0.3239293762933837
unrestricted,2,COP|EQNR,COP,0.6994050748639695
unrestricted,2,COP|EQNR,EQNR,0.3005949251360305
unrestricted,2,COP|OKE,COP,0.6419772045865307
unrestricted,2,COP|OKE,OKE,0.35802279541346926
unrestricted,2,COP|DVN,COP,0.9012361604474215
unrestricted,2,COP|DVN,DVN,0.09876383955257856
unrestricted,2,COP|FANG,COP,0.8574300895014397
unrestricted,2,COP|FANG,FANG,0.14256991049856033
unrestricted,2,COP|CVE,COP,0.8214278960531008
unrestricted,2,COP|CVE,CVE,0.17857210394689918
unrestricted,2,COP|E,COP,0.613861544435532
unrestricted,2,COP|E,E,0.3861384555644681
unrestricted,2,HAL|EOG,HAL,0.31492040079638595
unrestricted,2,HAL|EOG,EOG,0.685079599203614
unrestricted,2,HAL|SU,HAL,0.36857137521261113
unrestricted,2,HAL|SU,SU,0.6314286247873889
unrestricted,2,HAL|OXY,HAL,0.5541159728931118
unrestricted,2,HAL|OXY,OXY,0.4458840271068882
unrestricted,2,HAL|SLB,HAL,0.4640626052695465
unrestricted,2,HAL|SLB,SLB,0.5359373947304535
unrestricted,2,HAL|IMO,HAL,0.4170065647272818
unrestricted,2,HAL|IMO,IMO,0.5829934352727183
unrestricted,2,HAL|VLO,HAL,0.5138603558335119
unrestricted,2,HAL|VLO,VLO,0.4861396441664881
unrestricted,2,HAL|PSX,HAL,0.4322276969956778
unrestricted,2,HAL|PSX,PSX,0.5677723030043222
unrestricted,2,HAL|EQNR,HAL,0.4841976423270152
unrestricted,2,HAL|EQNR,EQNR,0.5158023576729849
unrestricted,2,HAL|OKE,HAL,0.40576994119782067
unrestricted,2,HAL|OKE,OKE,0.5942300588021794
unrestricted,2,HAL|DVN,HAL,0.5746508816824976
unrestricted,2,HAL|DVN,DVN,0.4253491183175025
unrestricted,2,HAL|FANG,HAL,0.5025756334775161
unrestricted,2,HAL|FANG,FANG,0.497424366522484
unrestricted,2,HAL|CVE,HAL,0.5395186057835151
unrestricted,2,HAL|CVE,CVE,0.46048139421648493
unrestricted,2,HAL|E,HAL,0.40353751838584495
unrestricted,2,HAL|E,E,0.596462481614155
unrestricted,2,EOG|SU,EOG,0.5283773482099168
unrestricted,2,EOG|SU,SU,0.4716226517900832
unrestricted,2,EOG|OXY,EOG,0.7482459050384329
unrestricted,2,EOG|OXY,OXY,0.2517540949615671
unrestricted,2,EOG|SLB,EOG,0.645604087365693
unrestricted,2,EOG|SLB,SLB,0.35439591263430703
unrestricted,2,EOG|IMO,EOG,0.5645583640196247
unrestricted,2,EOG|IMO,IMO,0.43544163598037533
unrestricted,2,EOG|VLO,EOG,0.6457834101198954
unrestricted,2,EOG|VLO,VLO,0.3542165898801047
unrestricted,2,EOG|PSX,EOG,0.576786966397553
unrestricted,2,EOG|PSX,PSX,0.42321303360244705
unrestricted,2,EOG|EQNR,EOG,0.6238435074082354
unrestricted,2,EOG|EQNR,EQNR,0.37615649259176465
unrestricted,2,EOG|OKE,EOG,0.5511147094878525
unrestricted,2,EOG|OKE,OKE,0.44888529051214754
unrestricted,2,EOG|DVN,EOG,0.7831313754345034
unrestricted,2,EOG|DVN,DVN,0.21686862456549658
unrestricted,2,EOG|FANG,EOG,0.7341583702796344
unrestricted,2,EOG|FANG,FANG,0.2658416297203657
unrestricted,2,EOG|CVE,EOG,0.7103914220018313
unrestricted,2,EOG|CVE,CVE,0.2896085779981688
unrestricted,2,EOG|E,EOG,0.5272806292738964
unrestricted,2,EOG|E,E,0.4727193707261036
unrestricted,2,SU|OXY,SU,0.6695276326581487
unrestricted,2,SU|OXY,OXY,0.33047236734185126
unrestricted,2,SU|SLB,SU,0.6118934849836926
unrestricted,2,SU|SLB,SLB,0.38810651501630744
unrestricted,2,SU|IMO,SU,0.5527685540255466
unrestricted,2,SU|IMO,IMO,0.4472314459744534
unrestricted,2,SU|VLO,SU,0.6270988726146652
unrestricted,2,SU|VLO,VLO,0.37290112738533476
unrestricted,2,SU|PSX,SU,0.5543620024198235
unrestricted,2,SU|PSX,PSX,0.4456379975801765
unrestricted,2,SU|EQNR,SU,0.6012434399438251
unrestricted,2,SU|EQNR,EQNR,0.39875656005617494
unrestricted,2,SU|OKE,SU,0.5253340608954351
unrestricted,2,SU|OKE,OKE,0.47466593910456495
unrestricted,2,SU|DVN,SU,0.7050754713866363
unrestricted,2,SU|DVN,DVN,0.2949245286133637
unrestricted,2,SU|FANG,SU,0.6461643022440849
unrestricted,2,SU|FANG,FANG,0.35383569775591506
unrestricted,2,SU|CVE,SU,0.7438791773639998
unrestricted,2,SU|CVE,CVE,0.2561208226360002
unrestricted,2,SU|E,SU,0.5056782574000243
unrestricted,2,SU|E,E,0.4943217425999757
unrestricted,2,OXY|SLB,OXY,0.4363161448744037
unrestricted,2,OXY|SLB,SLB,0.5636838551255963
unrestricted,2,OXY|IMO,OXY,0.37198098792612366
unrestricted,2,OXY|IMO,IMO,0.6280190120738763
unrestricted,2,OXY|VLO,OXY,0.4679151377207885
unrestricted,2,OXY|VLO,VLO,0.5320848622792115
unrestricted,2,OXY|PSX,OXY,0.3940229265201688
unrestricted,2,OXY|PSX,PSX,0.6059770734798312
unrestricted,2,OXY|EQNR,OXY,0.43802880820267615
unrestricted,2,OXY|EQNR,EQNR,0.5619711917973239
unrestricted,2,OXY|OKE,OXY,0.37057110172722774
unrestricted,2,OXY|OKE,OKE,0.6294288982727723
unrestricted,2,OXY|DVN,OXY,0.5053001385083523
